# variant=prism-Nmax prism_sides=42 steps=600 dt=0.016666666666666666 substeps=4
# config v=prism-Nmax N=42 R=0.514100015 W=0.4375 m=44 iS=0.699999988 iT=0.550000012 rho=77 gnd=400/1/60 mu=1 g=10 x0=-180 v0=13 gap=0.00100000005 load=1900 ctl=1 tgt=13 kp=440 ki=1100 fmax=1900 dt=0.016666666666666666 sub=4
step,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz,integral,w_drive_signed
1,-179.78378295898438,0.51646387577056885,-9.5731149485800415e-05,0.691514134,-0.147336617,-0.147321567,0.691662192,12.9726906,-0.262467533,-0.00574386865,-0.0110971536,0.000986099243,-25.2445354,0,0
2,-179.56858825683594,0.52179700136184692,0.00043768264004029334,0.64619416,-0.287732691,-0.287733883,0.645641029,12.9133749,0.1558792,0.0320048258,0.0602926463,-0.00882530212,-25.0944347,0.0004551569620768229,2.5861494956067568
3,-179.35321044921875,0.51747727394104004,0.00097109645139425993,0.572566211,-0.415493667,-0.415279627,0.571905494,12.9280005,-0.563817799,0.0320048258,0.0569740087,-0.0140075684,-25.0944519,0.0018989086151123046,10.906549457077542
4,-179.13777160644531,0.50517630577087402,0.0012788594467565417,0.473826438,-0.525309801,-0.524888158,0.473318845,12.9313469,-1.01829374,0.0184657779,0.035063412,-0.00384140015,-25.1091404,0.003098901112874349,18.184441107613665
5,-178.92405700683594,0.51382964849472046,0.0021347238216549158,0.35512346,-0.611581445,-0.612731695,0.352725714,12.8276863,0.0969110131,0.0513518564,0.0938784853,-0.00168991089,-25.1921062,0.0042431195576985679,25.371399972848138
6,-178.70951843261719,0.51657432317733765,0.0015823221765458584,0.220855653,-0.672031641,-0.672176957,0.21857366,12.8837109,-0.31862843,-0.033144094,-0.0691000521,0.0117206573,-25.05793,0.0071150143941243488,42.653922193953804
7,-178.49589538574219,0.52284038066864014,0.00037633150350302458,0.0771752372,-0.703914642,-0.702008009,0.0757164061,12.8256168,0.244065166,-0.0723594353,-0.136902481,0.0225467682,-24.8969707,0.00905316670735677,55.264439948493113
8,-178.28179931640625,0.51943755149841309,-0.00082965916953980923,-0.0696315169,-0.705444336,-0.701845467,-0.0700905621,12.8584538,-0.475631833,-0.0723594353,-0.122910157,0.0417404175,-24.8970356,0.011959552764892578,73.842135756537061
9,-178.06742858886719,0.50791144371032715,-0.00088678306201472878,-0.213528454,-0.676024973,-0.67230463,-0.21307835,12.8730097,-0.955533266,-0.00342743099,0.00595385022,0.00903320312,-24.9184151,0.014318656921386719,90.02691121415495
10,-177.85488891601562,0.51877510547637939,-0.00031206104904413223,-0.348582804,-0.615994155,-0.61534363,-0.3469778,12.7622957,0.278666079,0.0344833173,0.0676090345,-0.0109233856,-24.9716263,0.016435162226359049,105.26217030846534
11,-177.64169311523438,0.51629900932312012,0.00026266096392646432,-0.468198776,-0.530586898,-0.53070569,-0.466496348,12.8087626,-0.44103092,0.0344833173,0.0631346405,-0.0245494843,-24.9716721,0.020396900177001954,131.44937800621983
12,-177.42959594726562,0.52522474527359009,0.00064264354296028614,-0.566978812,-0.423389912,-0.424004018,-0.565240443,12.7411947,0.40205574,0.0227989554,0.0394147672,-0.00330924988,-24.7228966,0.02358419100443522,154.08221370432844
13,-177.21669006347656,0.5244288444519043,0.0010226261802017689,-0.641683578,-0.298412859,-0.299675345,-0.639833272,12.7941542,-0.317641258,0.0227989554,0.0309484676,-0.00805282593,-24.7229176,0.02789761225382487,183.89620322984493
14,-177.00297546386719,0.51163798570632935,0.0014026088174432516,-0.689240217,-0.160850644,-0.162679628,-0.687466621,12.8400869,-1.03733826,0.0227989554,0.021252308,-0.00792312622,-24.7229195,0.031328376134236655,209.84592047208042
15,-176.79139709472656,0.52103161811828613,-0.00049317581579089165,-0.707839131,-0.0162153523,-0.0187871903,-0.705937564,12.7094612,0.0391148627,-0.113747075,-0.231361836,0.0330429077,-24.7586765,0.033993593851725262,232.04997652528988
16,-176.57870483398438,0.5170789361000061,-0.0021919999271631241,-0.695012569,0.128353566,0.12564835,-0.696200669,12.7848902,-0.500451803,-0.101929441,-0.196286798,0.0221767426,-24.6605167,0.038835906982421876,267.25743748945422
17,-176.36589050292969,0.50538718700408936,-0.0030159996822476387,-0.653935194,0.267993927,0.26566726,-0.655720174,12.7887735,-1.03018594,-0.0494399853,-0.088564977,0.0248508453,-24.7867737,0.042421070734659831,296.53687000059023
18,-176.15438842773438,0.51408541202545166,-0.0028688069432973862,-0.585893512,0.396520764,0.395055652,-0.586029887,12.7098713,0.114448845,0.00883156806,0.0189318247,0.00641059875,-24.895443,0.04594151178995768,326.10910159085893
19,-175.94184875488281,0.51785129308700562,-0.0030807305593043566,-0.492836535,0.507851958,0.506883025,-0.492207557,12.7778368,-0.162764192,-0.0127154142,-0.0252706781,0.00621414185,-24.7917881,0.050776990254720052,364.05763587898508
20,-175.72999572753906,0.52449321746826172,-0.0010479551274329424,-0.378952831,0.597648144,0.597120047,-0.377702415,12.7329178,0.436010301,0.121966526,0.236349419,-0.0380001068,-24.6395569,0.05447971026102702,396.65528426781168
21,-175.51707458496094,0.52426320314407349,0.00098482030443847179,-0.250231296,0.661327124,0.662526488,-0.247162655,12.8001328,-0.283686697,0.121966526,0.226746872,-0.0573596954,-24.6396027,0.058931080500284831,434.51036606209533
22,-175.30313110351562,0.51203823089599609,0.003017595736309886,-0.111066394,0.69738394,0.700029075,-0.106203616,12.8579979,-1.00338364,0.121966526,0.208800972,-0.0693359375,-24.6397152,0.062262201309204103,467.24806690595665
23,-175.09132385253906,0.52018493413925171,0.00026069697923958302,0.0333737619,0.704781175,0.707554817,0.0391901806,12.7274294,-0.104860663,-0.165413916,-0.335309625,0.0558395386,-24.7690201,0.064628903071085611,495.02978571146014
24,-174.87899780273438,0.51964056491851807,-0.0009958283044397831,0.176465988,0.684571445,0.683244169,0.182754442,12.7669744,-0.153311372,-0.0753915161,-0.143205374,0.0152225494,-24.6303902,0.069171746571858719,535.67618564125621
25,-174.66551208496094,0.50958853960037231,-0.0022523535881191492,0.312189341,0.635097861,0.630904794,0.318037361,12.8346319,-0.87300837,-0.0753915161,-0.122306198,0.0494384766,-24.6304626,0.073055505752563477,573.88491986237011
26,-174.45356750488281,0.51531940698623657,-0.0013054106384515762,0.436457366,0.556047916,0.553655207,0.440206349,12.7383003,-0.0228028595,0.0568165779,0.124250159,0.00529098511,-24.8417587,0.075811640421549475,606.39370166333674
27,-174.24087524414062,0.51766848564147949,0.0012282440438866615,0.54250294,0.452682257,0.454054177,0.542774558,12.7900848,-0.180231839,0.152019262,0.296380639,-0.0251560211,-24.7748337,0.080173301696777333,648.71623354006988
28,-174.02886962890625,0.52472496032714844,0.0042437873780727386,0.624534726,0.331378996,0.334251344,0.623233795,12.7459879,0.396951318,0.180932611,0.346679389,-0.0293464661,-24.6548157,0.083671887715657547,687.07173705555613
29,-173.81562805175781,0.52384394407272339,0.0072593307122588158,0.680568933,0.195939362,0.20136264,0.676673412,12.8231859,-0.322745681,0.180932611,0.327217579,-0.0566864014,-24.6550312,0.087905422846476233,730.62876644212133
30,-173.60122680664062,0.51096802949905396,0.010274874046444893,0.707834661,0.052203685,0.0600819141,0.70187974,12.8892832,-1.04244268,0.180932611,0.296759188,-0.0706348419,-24.6553955,0.090852324167887369,768.11384380459879
31,-173.38937377929688,0.52297884225845337,0.0089488625526428223,0.704268098,-0.094056733,-0.0849198177,0.698533118,12.73211,0.221938252,-0.0795606971,-0.173535377,0.0545272827,-24.7946568,0.092697604497273767,799.6582739281564
32,-173.17630004882812,0.51918095350265503,0.0076228510588407516,0.668948531,-0.236012459,-0.226692855,0.667395234,12.8153811,-0.497758746,-0.0795606971,-0.172021329,0.113222122,-24.794466,0.097162437438964841,846.6136068107362
33,-172.96197509765625,0.50385546684265137,0.006296839565038681,0.605467796,-0.367529124,-0.35924834,0.607677281,12.8866358,-1.21745574,-0.0795606971,-0.142283797,0.163291931,-24.7943726,0.10023941993713378,887.01557664163795
34,-172.74951171875,0.5113375186920166,0.0066480929963290691,0.517584443,-0.484371364,-0.47789818,0.518752575,12.7702417,0.0388605595,0.0210752115,0.0552664995,0.0178451538,-25.0430298,0.10212882359822591,921.10012200847257
35,-172.53604125976562,0.5182918906211853,0.0092573678120970726,0.408959448,-0.578784406,-0.576235056,0.407079816,12.8382139,-0.104363531,0.156556487,0.311745465,-0.0164852142,-24.9565125,0.10595812797546386,966.76893155200264
36,-172.32241821289062,0.52233761548995972,0.013379788957536221,0.282305747,-0.648983359,-0.64925921,0.27854377,12.844449,0.224125743,0.247345269,0.477764666,-0.0425128937,-24.8210144,0.10865456263224284,1006.9591731571044
37,-172.10781860351562,0.51965004205703735,0.017432656139135361,0.144198149,-0.691152632,-0.694565296,0.138181239,12.8981695,-0.477229893,0.241780952,0.452639818,-0.0496044159,-24.8629513,0.11124707857767741,1047.3653633600231
38,-171.89286804199219,0.50911533832550049,0.020012935623526573,-0.00100586237,-0.704287767,-0.709862292,-0.00855880976,12.9209671,-0.889752746,0.154816717,0.282032907,-0.018825531,-24.9551487,0.11294425328572591,1083.3668814429655
39,-171.67915344238281,0.51810646057128906,0.019782373681664467,-0.146406755,-0.687321186,-0.694272816,-0.155370131,12.8454733,0.0469121337,-0.0138337165,-0.0474046171,0.0259590149,-25.0564842,0.11426146825154622,1117.4102017543728
40,-171.46432495117188,0.51822572946548462,0.017542542889714241,-0.284956157,-0.643710852,-0.645894289,-0.295392931,12.9169445,-0.243553817,-0.134389877,-0.261526346,0.0624732971,-24.9582558,0.11683691342671712,1159.1059624897823
41,-171.25041198730469,0.52416223287582397,0.020283114165067673,-0.411643416,-0.570065439,-0.572409332,-0.421808958,12.8584642,0.182685196,0.164434224,0.328368872,-0.0539169312,-24.87183,0.11822117169698079,1194.4806741069776
42,-171.03533935546875,0.51971012353897095,0.023023685440421104,-0.520965993,-0.471476942,-0.475214154,-0.529599309,12.9313135,-0.537011802,0.164434224,0.338435113,-0.0551662445,-24.8717175,0.12058010101318359,1235.9296337545775
43,-170.82017517089844,0.51099777221679688,0.02755371481180191,-0.609346092,-0.351745963,-0.357645065,-0.614053905,12.9326992,-0.753439307,0.27180171,0.534670353,-0.0113716125,-24.9700184,0.12172487576802571,1271.0333257804168
44,-170.60629272460938,0.51989352703094482,0.030298035591840744,-0.671540558,-0.216471091,-0.224924475,-0.671998918,12.8565741,0.0361247361,0.164659292,0.315406024,-0.00291442871,-25.0282745,0.12284655570983886,1306.0695715282666
45,-170.39132690429688,0.51860129833221436,0.031367462128400803,-0.702675641,-0.0731202811,-0.0817454159,-0.703006446,12.9262085,-0.318948746,0.0641655326,0.120713741,0.0281639099,-24.9364452,0.12523698806762695,1348.7774682871609
46,-170.17848205566406,0.52824223041534424,0.035548698157072067,-0.703991532,0.0736127496,0.0645829588,-0.703424573,12.7950802,0.757642031,0.250874162,0.487636238,-0.0613613129,-24.7506084,0.12646684646606446,1385.0790190712719
47,-169.96432495117188,0.53337275981903076,0.039729934185743332,-0.676875055,0.216269627,0.207018048,-0.672466457,12.8819294,0.0379450321,0.250874162,0.4779495,-0.078660965,-24.7507591,0.12988217671712241,1434.304789497269
48,-169.74885559082031,0.52650833129882812,0.043911170214414597,-0.621044755,0.349872172,0.340589881,-0.613099873,12.9557247,-0.681751966,0.250874162,0.460921884,-0.0887718201,-24.751049,0.13185002009073893,1476.3723427884329
49,-169.53337097167969,0.51240652799606323,0.046753495931625366,-0.53745234,0.469185621,0.460204124,-0.528414547,12.9484177,-1.08947396,0.160434946,0.305865943,0.00633621216,-24.8652935,0.1325879414876302,1511.8760725129291
50,-169.32136535644531,0.52571171522140503,0.047600571066141129,-0.431651175,0.56793344,0.560345948,-0.420881599,12.7445459,0.356278777,0.0508245453,0.0934354961,0.0546607971,-24.7959366,0.13344764709472656,1547.6761315579388
51,-169.10794067382812,0.52415287494659424,0.048447646200656891,-0.306040347,0.643617928,0.635471761,-0.297104418,12.8427248,-0.363418221,0.0508245453,0.106862247,0.0936508179,-24.795742,0.13770521481831868,1603.1550330774808
52,-168.89302062988281,0.51059907674789429,0.049294721335172653,-0.167323411,0.691752732,0.68382597,-0.160820231,12.9263163,-1.08311522,0.0508245453,0.137986213,0.120611191,-24.7954617,0.14032646814982097,1650.6973401077532
53,-168.68046569824219,0.52025347948074341,0.05250583216547966,-0.0229232237,0.708090365,0.705572724,-0.0158059746,12.7797594,0.149066389,0.192666724,0.382600427,-0.0252304077,-24.8774128,0.14155453046162925,1690.4807226213031
54,-168.46653747558594,0.51891613006591797,0.056766800582408905,0.122586325,0.694878936,0.696682274,0.129420668,12.8720083,-0.345322311,0.25565815,0.496838063,-0.033575058,-24.8031521,0.14522520701090497,1744.6752768199565
55,-168.25114440917969,0.50566393136978149,0.06102776899933815,0.262695611,0.652089715,0.658209801,0.269313753,12.9538527,-1.06501937,0.25565815,0.484849811,-0.0593852997,-24.8033199,0.14735840161641442,1791.3229779129572
56,-168.03790283203125,0.51559597253799438,0.065584234893321991,0.393309057,0.580246568,0.59127748,0.398764282,12.8200665,0.174956679,0.273388118,0.519800067,-0.0118255615,-25.0808582,0.14812752405802412,1830.295782121302
57,-167.82316589355469,0.51843595504760742,0.06863672286272049,0.505312622,0.485855311,0.496951878,0.511510134,12.9186392,-0.222501352,0.183149278,0.345525026,0.00757026672,-24.9944229,0.15112641652425135,1882.4248677317701
58,-167.608642578125,0.52243292331695557,0.068607047200202942,0.595418394,0.370699942,0.380953372,0.602439225,12.8997154,0.165949583,-0.00178056955,-0.00520440936,0.0657081604,-24.9202061,0.15248243014017746,1925.8620402704514
59,-167.393310546875,0.52013760805130005,0.069039411842823029,0.659742296,0.239673421,0.248860449,0.667356968,12.9436407,-0.424285591,0.0341341011,0.072399646,0.011631012,-24.9654808,0.15415383974711105,1971.5651482790342
60,-167.17741394042969,0.50911372900009155,0.0706043541431427,0.696141958,0.097642228,0.105599344,0.703350008,12.9812202,-0.929644227,0.0938966349,0.199621052,0.022726059,-25.0422955,0.1550931612650554,2013.6172296609823
61,-166.962890625,0.51865464448928833,0.075642652809619904,0.702861667,-0.0489366651,-0.0426686779,0.708357334,12.8969812,0.0575046241,0.302298039,0.61487788,-0.0254955292,-25.1454124,0.15540615717569994,2052.0643278831826
62,-166.74717712402344,0.51883697509765625,0.082726560533046722,0.682080865,-0.193302169,-0.18855916,0.679592073,12.973237,-0.227705359,0.425034463,0.828733027,-0.063835144,-25.0420303,0.15712313652038581,2098.8274478546805
63,-166.53219604492188,0.52428042888641357,0.084995858371257782,0.629809141,-0.329359442,-0.325952798,0.623391986,12.9250536,0.211203098,0.13615793,0.25535059,0.0477981567,-24.9755344,0.15756918589274096,2138.5959321017585
64,-166.31596374511719,0.52030360698699951,0.087265156209468842,0.549401164,-0.451382935,-0.448540151,0.541501284,13.0031977,-0.5084939,0.13615793,0.243605971,0.0454845428,-24.975668,0.15881829261779792,2183.305806663222
65,-166.09953308105469,0.51002794504165649,0.087801344692707062,0.444250405,-0.555237889,-0.551457226,0.436173499,13.0101442,-0.859336793,0.0321714878,0.0513761565,0.00867652893,-25.101759,0.15876499811808276,2220.8819539684814
66,-165.88459777832031,0.52095788717269897,0.086853712797164917,0.319899827,-0.634754062,-0.630784988,0.31122613,12.9199028,0.22263068,-0.0568580106,-0.118323445,0.0389614105,-25.1719532,0.15859592755635588,2257.5266818426226
67,-165.66844177246094,0.51717156171798706,0.085906080901622772,0.180182412,-0.687822759,-0.681327939,0.173857704,12.9993324,-0.497066319,-0.0568580106,-0.103567734,0.0886478424,-25.1718941,0.15993088086446133,2302.9589776874209
68,-165.45362854003906,0.5252450704574585,0.089873373508453369,0.0349395536,-0.707858562,-0.704939544,0.0278530829,12.9141617,0.35618645,0.238037676,0.469520211,-0.0806694031,-25.003027,0.1599420070648194,2340.8873756427975
69,-165.237548828125,0.52368468046188354,0.093840666115283966,-0.111441046,-0.697082996,-0.698185742,-0.119134203,12.9951096,-0.363510549,0.238037676,0.465333521,-0.10443306,-25.0030193,0.16137264569600429,2387.1727217600264
70,-165.02024841308594,0.51012933254241943,0.097807958722114563,-0.252874821,-0.656244218,-0.661225975,-0.261109412,13.0631638,-1.08320761,0.238037676,0.449738085,-0.122777939,-25.0032406,0.16145415306091315,2426.2885595834541
71,-164.80558776855469,0.52308535575866699,0.09997820109128952,-0.38461864,-0.586762547,-0.595031083,-0.392066687,12.9009085,0.350705624,0.130214512,0.244383737,0.013004303,-25.1438694,0.16040142377217617,2458.4994436004276
72,-164.58970642089844,0.52143359184265137,0.10214844346046448,-0.49905017,-0.492920876,-0.501647353,-0.50628829,12.9842558,-0.368991375,0.130214512,0.23833093,0.0304641724,-25.1439152,0.16205294926961269,2506.1174356986312
73,-164.37419128417969,0.52223443984985352,0.10242827236652374,-0.591347098,-0.378025591,-0.386445671,-0.598385453,12.9571667,0.0561533868,0.016789861,0.0338858515,0.0566329956,-24.9834557,0.16231535275777187,2546.1088012315663
74,-164.15745544433594,0.51567345857620239,0.10270810127258301,-0.657141209,-0.248015374,-0.254286349,-0.664825022,13.0319386,-0.663543582,0.016789861,0.0542373434,0.0923423767,-24.9833508,0.16302924156188972,2588.98247867187
75,-163.94146728515625,0.51260995864868164,0.10554274171590805,-0.697478533,-0.104576655,-0.111992255,-0.700032294,12.9830666,-0.556812286,0.170078292,0.336030066,0.00543022156,-25.1625881,0.16249693234761564,2624.7463267776361
76,-163.72589111328125,0.5178181529045105,0.11131303757429123,-0.706119478,0.0426532514,0.0355547592,-0.705912054,12.9607019,-0.273969501,0.346217871,0.680840135,-0.0419425964,-25.1795502,0.16277915636698412,2664.9671304817375
77,-163.51065063476562,0.52412205934524536,0.11723411828279495,-0.685413182,0.188061118,0.181316197,-0.679680943,12.9421701,0.33142674,0.355264693,0.68291223,-0.0376796722,-25.0200195,0.16343412399291998,2707.3199977478007
78,-163.29414367675781,0.52214896678924561,0.12315519899129868,-0.635539889,0.325104624,0.318630517,-0.62359494,13.019906,-0.388270259,0.355264693,0.65406245,-0.077091217,-25.0206776,0.16439795494079595,2751.8529965140992
79,-163.07646179199219,0.50826030969619751,0.1290762722492218,-0.557995021,0.448352158,0.441889524,-0.540699244,13.0850878,-1.10796726,0.355264693,0.609476328,-0.0964756012,-25.0217266,0.16406618754069016,2789.3808300328355
80,-162.86111450195312,0.51740759611129761,0.13220006227493286,-0.454635948,0.553056002,0.546941817,-0.433923811,12.9414186,0.0466220379,0.187427387,0.336824715,0.0244789124,-25.2759209,0.16264805793762213,2820.2319178011558
81,-162.64450073242188,0.51814490556716919,0.13352958858013153,-0.329624832,0.635143518,0.625621259,-0.310706079,13.0255651,-0.294794172,0.0797716379,0.147045612,0.0559101105,-25.1794395,0.1636244138081869,2864.6683421181051
82,-162.4288330078125,0.52378851175308228,0.13854356110095978,-0.191575065,0.687609136,0.678745151,-0.172620177,12.9638319,0.30006969,0.300838202,0.590093255,-0.0200481415,-25.0707855,0.16319832801818854,2901.1265676989292
83,-162.21200561523438,0.52129280567169189,0.14355753362178802,-0.0458454378,0.7090289,0.703161359,-0.0272118635,13.0378599,-0.419627309,0.300838202,0.605790257,-0.0074596405,-25.0704117,0.163801129659017,2943.5935119944334
