# variant=sphere prism_sides=42 steps=600 dt=0.016666666666666666 substeps=4
# config v=sphere N=0 R=0.514100015 W=0.4375 m=44 iS=0.699999988 iT=0.550000012 rho=77 gnd=400/1/60 mu=1 g=10 x0=-180 v0=13 gap=0.00100000005 load=1900 ctl=1 tgt=13 kp=440 ki=1100 fmax=1900 dt=0.016666666666666666 sub=4
step,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz,integral,w_drive_signed
1,-179.78334045410156,0.50760316848754883,0,0.691494107,-0.14776963,-0.14776966,0.691494107,13,-0.719696999,0,6.31260491e-07,1.90734863e-06,-25.2869053,0,0
2,-179.56724548339844,0.50485223531723022,2.3636143708927193e-08,0.645119548,-0.289518237,-0.289518267,0.645119548,12.9659071,-0.539385378,1.22194399e-06,8.48990749e-06,1.90734863e-06,-25.3809528,0,0
3,-179.35133361816406,0.50278335809707642,3.5688479727014055e-08,0.56990087,-0.418584496,-0.418584526,0.56990087,12.9564838,-0.540160656,9.92360469e-07,-6.85389705e-06,7.62939453e-06,-25.4226398,0.0005682150522867838,3.2393104229789365
4,-179.13554382324219,0.50121849775314331,3.1799881838878719e-08,0.469083011,-0.529113472,-0.529113591,0.469083071,12.9504452,-0.539772749,-2.45808224e-07,7.63664048e-07,5.7220459e-06,-25.4598083,0.0012934843699137369,7.506945419626339
5,-178.9197998046875,0.50046086311340332,4.8467072133462352e-08,0.347105354,-0.616050124,-0.616050363,0.347105414,12.9476519,-0.539772749,5.58768363e-07,5.42586258e-06,1.90734863e-06,-25.4916096,0.0021193981170654296,12.51918769718918
6,-178.70404052734375,0.50069683790206909,3.5763729755444729e-08,0.209420249,-0.675383508,-0.675383866,0.209420398,12.9484558,-0.480612278,-6.31507874e-07,-8.68704774e-07,1.90734863e-05,-25.51577,0.0029918670654296873,17.993043407571424
7,-178.48817443847656,0.5004885196685791,4.942689102449549e-08,0.0622757152,-0.704358876,-0.704359353,0.0622758716,12.9554873,-0.528362751,4.11261851e-07,4.82517589e-06,-7.62939453e-06,-25.5234489,0.0038509368896484375,23.600717482481816
8,-178.27223205566406,0.5006287693977356,1.0952753370929713e-07,-0.0877514109,-0.701640487,-0.701641023,-0.0877513662,12.9594622,-0.491072744,2.61851665e-06,5.59749606e-06,1.90734863e-06,-25.5373611,0.0045928160349527998,28.745978190780455
9,-178.05619812011719,0.50050485134124756,1.5651326634724683e-07,-0.233872041,-0.667310655,-0.667311251,-0.233872026,12.9651861,-0.519894123,2.77547588e-06,1.92227344e-06,1.90734863e-06,-25.5454388,0.0052684466044108074,33.691925435886787
10,-177.840087890625,0.5005795955657959,1.7767469273621828e-07,-0.369511873,-0.602877021,-0.602877557,-0.369511873,12.9690428,-0.498568952,1.6823592e-06,4.56311909e-06,9.53674316e-06,-25.5568485,0.0058486779530843103,38.255601654755992
11,-177.6239013671875,0.50051009654998779,2.0669901346082042e-07,-0.488520265,-0.511221826,-0.511222303,-0.488520205,12.9737825,-0.51454401,2.23431493e-06,7.1224672e-06,2.0980835e-05,-25.5646992,0.0063646316528320314,42.592028664101363
12,-177.40765380859375,0.5005573034286499,2.9053296657366445e-07,-0.585514188,-0.396450698,-0.396451056,-0.58551389,12.9773712,-0.502538025,4.57710712e-06,8.81302913e-06,2.47955322e-05,-25.5740719,0.0068015893300374351,46.601339376018714
13,-177.19132995605469,0.50049906969070435,3.0490724611809128e-07,-0.656081676,-0.263736755,-0.263736904,-0.656081259,12.9813786,-0.513685763,2.18716787e-06,-6.83390681e-07,2.28881836e-05,-25.5811882,0.0071787357330322264,50.374250117324536
14,-176.97496032714844,0.50052553415298462,3.3046342196030309e-07,-0.697011828,-0.119058184,-0.119058177,-0.697011352,12.9845142,-0.504548967,1.3213737e-06,3.40895485e-06,2.47955322e-05,-25.589365,0.0074890931447347004,53.856273751435488
15,-176.75852966308594,0.50048494338989258,3.8168076343936264e-07,-0.706425428,0.0310413968,0.0310416445,-0.706424832,12.9879141,-0.511634469,2.41034195e-06,6.04131128e-06,3.05175781e-05,-25.595789,0.0077471892038981117,57.114451842256685
16,-176.54205322265625,0.50051885843276978,4.3311558783898363e-07,-0.683872044,0.179775968,0.1797764,-0.683871388,12.9906569,-0.504444599,2.86510954e-06,7.16718114e-06,2.67028809e-05,-25.6026516,0.0079486211140950523,60.110900687945836
17,-176.32551574707031,0.50048136711120605,5.3406353117679828e-07,-0.630351603,0.320401579,0.320402116,-0.630350828,12.9935913,-0.512169361,4.76147216e-06,8.95726225e-06,1.52587891e-05,-25.607954,0.0081043402353922524,62.894662421978786
18,-176.10894775390625,0.50049489736557007,6.0969455262238625e-07,-0.548266828,0.446546495,0.446547061,-0.548265874,12.9958954,-0.506552041,4.88571459e-06,1.24306789e-05,1.14440918e-05,-25.6138649,0.0082111517588297524,65.436355992139426
19,-175.892333984375,0.50048154592514038,7.4980874842367484e-07,-0.44132337,0.552479744,0.55248034,-0.441322267,12.9982872,-0.509880543,7.08002699e-06,1.75780478e-05,7.62939453e-06,-25.6185608,0.0082795619964599609,67.784344323481918
20,-175.67568969726562,0.50048422813415527,9.2413966967797023e-07,-0.314355344,0.633388281,0.633388937,-0.314354151,13.0003099,-0.50824976,9.735204e-06,1.07060077e-05,1.90734863e-05,-25.62327,0.0083081086476643872,69.920977717622819
21,-175.45899963378906,0.50048792362213135,1.0926873983407859e-06,-0.173113227,0.685588479,0.685589194,-0.173112139,13.002224,-0.508840978,8.97660448e-06,1.77653947e-05,3.24249268e-05,-25.6272697,0.0083029429117838539,71.871862625654813
22,-175.24227905273438,0.50046515464782715,1.2723863846986205e-06,-0.0239986889,0.706699133,0.706699848,-0.0239980966,13.0039768,-0.511110723,9.53448853e-06,2.08395086e-05,7.62939453e-05,-25.6309814,0.0082658767700195309,73.639252851304576
23,-175.02554321289062,0.50046998262405396,1.4326994914881652e-06,0.126226559,0.695748806,0.69574964,0.126226082,13.0054274,-0.50801146,1.00313446e-05,2.81261455e-05,0.000127792358,-25.6347427,0.0081995964050292965,75.230827315054441
