# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.400000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
0,0.016666668,-17.094852448,-16.098958969,+12.648466110,+0.727424860,-0.656512618,-0.160593033,-0.038093388,-0.108321391,-29.113264084,+57.584281921,+360.351074219,-0.001163423,+0.301059663,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
1,0.033333335,-17.885616302,-15.802099228,+12.670782089,+0.605188727,-0.636305451,-0.133840561,-0.038584802,-0.078596048,+9.989826202,+76.035110474,+132.319488525,+0.358283997,+0.439041972,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
2,0.050000003,-18.462503433,-15.247842789,+12.654862404,+0.588825107,-0.625675619,-0.130057812,-0.039251722,-0.074605770,+53.231948853,+53.231948853,+75.070129395,+0.377698123,+0.185394779,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
3,0.066666670,-19.160161972,-14.742319107,+12.617131233,+0.472130865,-0.603856802,-0.103970528,-0.039535355,-0.086567141,+47.507011414,+47.507011414,+192.681152344,+0.569551051,+0.322178513,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
4,0.083333338,-19.885738373,-14.311573982,+12.587020874,+0.297749013,-0.588117898,-0.065411568,-0.040207639,-0.107524365,+59.268115997,+59.268115997,+378.913818359,+0.765110314,+0.381386399,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
5,0.100000005,-20.522727966,-13.920109749,+12.569198608,+0.161282733,-0.576864123,-0.035381317,-0.041102625,-0.094799176,+77.891387939,+77.891387939,+502.986389160,+0.936577082,+0.293242246,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
6,0.116666673,-21.009708405,-13.596891403,+12.554979324,+0.041989811,-0.570919633,-0.009201050,-0.041681029,-0.079722777,+90.298645020,+90.298645020,+600.027038574,+1.104201674,+0.308090895,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
7,0.133333340,-21.302904129,-13.352779388,+12.537193298,-0.076131649,-0.570493340,+0.016658783,-0.042097114,-0.075549200,+100.002700806,+100.002700806,+653.279235840,+1.225538492,+0.324039400,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
8,0.150000008,-21.414327621,-13.198072433,+12.513759613,-0.183591634,-0.573988616,+0.040097713,-0.042328287,-0.075600497,+105.327926636,+105.327926636,+672.842224121,+1.299053431,+0.334917486,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
9,0.166666675,-20.958047867,-13.147659302,+12.475364685,-0.311921835,-0.570513904,+0.067917347,-0.042585365,-0.053172808,+107.284225464,+107.284225464,+678.144042969,+0.834671259,+0.344505847,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
10,0.183333343,-20.142248154,-13.023267746,+12.461751938,-0.345510930,-0.596941054,+0.075149059,-0.041023694,-0.031606160,-47.484451294,+107.814407349,+459.450164795,+0.902121544,+0.376855016,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
11,0.200000010,-19.345100403,-12.809909821,+12.464422226,-0.342418790,-0.624528885,+0.074492455,-0.038733218,-0.018453272,-11.587814331,+85.945022583,+315.914855957,+1.239368916,+0.438507676,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
12,0.216666678,-18.243648529,-12.461759567,+12.446086884,-0.403444678,-0.634673774,+0.087639809,-0.036417834,-0.025835598,+43.882404327,+71.591484070,+215.343017578,+1.078521729,+0.438766718,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
13,0.233333346,-17.367492676,-12.063076019,+12.399644852,-0.497836560,-0.637583017,+0.107741833,-0.034131732,-0.013020243,+36.336704254,+61.534301758,+248.553161621,+0.933880568,+0.423204035,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
14,0.250000013,-16.756000519,-11.553035736,+12.349276543,-0.610322952,-0.645761073,+0.131551266,-0.033207927,-0.047165290,+60.370834351,+64.855316162,+183.144989014,+0.953745306,+0.342789412,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
