# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.500000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
0,0.016666668,+18.268735886,+19.854379654,+12.502276421,-0.642573535,+0.631291330,+0.140219212,+0.045231510,+0.527506292,-68.114929199,+68.114929199,+300.226074219,-0.150498480,-0.308273196,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
1,0.033333335,+18.390872955,+21.184610367,+12.523425102,-0.489591837,+0.614595294,+0.107015133,+0.048152346,+0.543182194,-70.022605896,+70.022605896,+148.171157837,-0.179185346,-0.757221222,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
2,0.050000003,+18.536321640,+22.301458359,+12.511552811,-0.399800926,+0.608124018,+0.087305069,+0.050394781,+0.525874794,-54.817115784,+54.817115784,+319.712158203,-0.390484571,-0.842101455,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
3,0.066666670,+18.708152771,+23.516967773,+12.481033325,-0.258904457,+0.587106049,+0.056398869,+0.052223288,+0.550659895,-71.971214294,+71.971214294,+459.153198242,-0.402478844,-1.065716624,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
4,0.083333338,+18.911834717,+24.794988632,+12.449782372,-0.092150383,+0.566231728,+0.020023346,+0.054542016,+0.576422453,-85.915321350,+85.915321350,+635.294738770,-0.303570867,-1.258523583,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
5,0.100000005,+19.262746811,+26.079528809,+12.421257973,+0.072243065,+0.548002660,-0.015661716,+0.056944743,+0.558438063,-103.529479980,+103.529479980,+756.029907227,-0.290966511,-1.455404520,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
6,0.116666673,+19.800994873,+27.273933411,+12.395993233,+0.226300985,+0.541927159,-0.048960686,+0.059263118,+0.539145231,-115.602989197,+115.602989197,+820.021484375,-0.336895108,-1.665734768,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
7,0.133333340,+20.490957260,+28.321622849,+12.371465683,+0.360502601,+0.542356491,-0.077841759,+0.061574358,+0.523965836,-122.002151489,+122.002151489,+827.775512695,-0.323247641,-1.830019712,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
8,0.150000008,+21.311264038,+29.265781403,+12.343297005,+0.486455590,+0.548502862,-0.104800224,+0.063819759,+0.512347758,-122.777542114,+122.777549744,+812.167602539,-0.338888139,-1.949265122,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
9,0.166666675,+22.232044220,+30.051721573,+12.302896500,+0.600864112,+0.548530698,-0.129025936,+0.065882914,+0.453467280,-121.216758728,+121.216758728,+783.344299316,-0.344835639,-1.868215561,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
10,0.183333343,+23.191446304,+29.707950592,+12.263492584,+0.665221453,+0.559807777,-0.142389297,+0.067113265,+0.374162406,-118.334434509,+118.334434509,+656.327026367,-0.357958376,-1.291198015,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
11,0.200000010,+24.094739914,+30.207719803,+12.253787994,+0.662435591,+0.586614966,-0.141680717,+0.068589315,+0.395818472,-105.632698059,+105.632705688,+455.410400391,-0.405591905,-1.810560226,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
