# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=sphere mode=0 steer=-1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
0,0.016666668,-35.005413055,-28.946474075,+11.193144798,-1.652734518,-0.642033279,+0.322963238,-0.079789117,-0.054830097,-128.569946289,+128.569946289,+594.258300781,+2.102953196,+0.509688675,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
1,0.033333335,-35.136367798,-28.617490768,+11.184113503,-1.716611385,-0.657064676,+0.335182190,-0.078939669,-0.048675098,-99.425827026,+99.425827026,+644.883178711,+2.254464388,+0.534625053,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
2,0.050000003,-34.895584106,-28.161195755,+11.146446228,-1.695845842,-0.641581595,+0.330009937,-0.078339361,-0.043539129,-104.488319397,+104.488319397,+623.328491211,+2.044763803,+0.578019798,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
3,0.066666670,-33.812267303,-27.621629715,+11.107033730,-1.745591879,-0.634298921,+0.338495255,-0.077399373,-0.014149509,-99.980575562,+102.332855225,+607.539062500,+1.591655970,+0.643080711,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
4,0.083333338,-33.344909668,-26.961450577,+11.094051361,-1.831980467,-0.642063260,+0.354843140,-0.075458646,-0.004085029,-100.753906250,+100.753906250,+510.632629395,+2.684028864,+0.656708121,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
5,0.100000005,-32.465412140,-26.251846313,+11.073816299,-1.881296992,-0.649042189,+0.363737583,-0.073677391,-0.015645407,-68.656066895,+127.488563538,+500.745239258,+2.687636137,+0.651751041,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
6,0.116666673,-31.619159698,-25.575874329,+11.031541824,-1.954670906,-0.641184449,+0.376492023,-0.071736664,+0.034035638,-90.074523926,+90.074523926,+563.735778809,+2.531246424,+0.631766737,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
7,0.133333340,-30.892797470,-24.905097961,+10.978487015,-2.114527225,-0.647872567,+0.405350208,-0.070244312,-0.053425550,+42.447151184,+96.373580933,+507.769439697,+2.564497232,+0.569757044,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
8,0.150000008,-30.241142273,-24.213678360,+10.928953171,-2.267789841,-0.656930089,+0.432798386,-0.069169208,-0.052019533,+23.166341782,+90.776947021,+419.542114258,+2.704337835,+0.479498148,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
9,0.166666675,-29.523633957,-23.508064270,+10.885616302,-2.393796682,-0.672063589,+0.455061913,-0.067359902,-0.036867552,+25.685710907,+81.954208374,+386.765991211,+2.933703184,+0.474009067,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
10,0.183333343,-28.659120560,-22.820478439,+10.843137741,-2.494932175,-0.692949414,+0.472460747,-0.065396465,-0.038805719,+56.826705933,+78.676605225,+314.974426270,+3.101803064,+0.460689723,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
11,0.200000010,-27.728210449,-22.201944351,+10.795831680,-2.579191685,-0.712375760,+0.486307144,-0.063391253,-0.039986879,+55.514289856,+71.497444153,+258.644561768,+3.128967285,+0.460204750,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
12,0.216666678,-26.849903107,-21.660453796,+10.742917061,-2.649347544,-0.729337633,+0.497105122,-0.061545677,-0.048224106,+62.807125092,+65.864456177,+220.394088745,+3.041644812,+0.458990514,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
13,0.233333346,-26.120485306,-21.189983368,+10.688818932,-2.708603859,-0.744930863,+0.505680561,-0.059989411,-0.061535254,+62.039413452,+62.039409637,+192.940750122,+2.927752733,+0.453487486,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
14,0.250000013,-25.569435120,-20.776197433,+10.638631821,-2.757622242,-0.760438085,+0.512428761,-0.058710694,-0.074408442,+59.294075012,+59.294075012,+179.474502563,+2.838507175,+0.450391233,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
15,0.266666681,-25.169258118,-20.402105331,+10.594072342,-2.784058571,-0.778065443,+0.515182018,-0.057681825,-0.084339678,+57.947448730,+57.947448730,+173.968307495,+2.787435055,+0.445555031,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
16,0.283333348,-24.884931564,-20.064668655,+10.553792953,-2.791942835,-0.795376062,+0.514678955,-0.056846391,-0.092130303,+57.396831512,+57.396831512,+178.135391235,+2.735532284,+0.440830797,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
17,0.300000016,-24.714429855,-19.774366379,+10.516709328,-2.793766737,-0.811115742,+0.513206005,-0.056148291,-0.097092465,+57.813537598,+57.813537598,+188.703933716,+2.674045086,+0.432563066,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
18,0.316666683,-24.668155670,-19.542259216,+10.479276657,-2.693494320,-0.844925940,+0.492997646,-0.055865996,-0.118054695,+58.870391846,+58.870391846,+214.060882568,+2.588582754,+0.426002622,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
