# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=sphere mode=0 steer=+1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
0,0.016666668,+28.561538696,+31.840993881,+11.294921875,+1.563463211,+0.656156778,-0.308287621,+0.075179726,+0.201377183,+63.081504822,+125.291381836,+364.215637207,-0.503219545,-1.708840489,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
1,0.033333335,+28.069776535,+31.736919403,+11.284970284,+1.547865510,+0.660543799,-0.304941654,+0.074955299,+0.205787495,+32.725166321,+76.421569824,+490.499816895,-0.566784799,-1.572426081,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
2,0.050000003,+27.396358490,+30.972740173,+11.251407623,+1.577142596,+0.649975061,-0.309788227,+0.073209919,+0.124547854,+85.551185608,+89.049987793,+343.730834961,-0.573431790,-1.132434845,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
3,0.066666670,+26.564220428,+30.684753418,+11.225391388,+1.619828463,+0.650046110,-0.317441463,+0.071420215,+0.148370847,-7.988433361,+74.373085022,+349.000793457,-0.711214244,-2.092060804,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
4,0.083333338,+25.604951859,+29.998233795,+11.205319405,+1.649107814,+0.644293725,-0.322604656,+0.070214257,+0.166606829,+0.516450346,+74.900085449,+465.696319580,-0.682515502,-2.042319775,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
5,0.100000005,+24.650043488,+29.436546326,+11.179231644,+1.734259486,+0.631970406,-0.338482380,+0.069010407,+0.161396638,+20.074995041,+86.569633484,+483.977294922,-0.617728770,-1.885764956,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
6,0.116666673,+23.707731247,+28.989557266,+11.140812874,+1.905056000,+0.642158508,-0.370563030,+0.067138836,+0.174743518,+0.039932724,+88.397735596,+534.898803711,-0.601038635,-2.019058943,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
7,0.133333340,+22.756389618,+28.502086639,+11.102226257,+2.056122065,+0.651066482,-0.398586750,+0.065464228,+0.148776069,+8.610934258,+93.489883423,+473.920196533,-0.496743739,-2.263276815,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
8,0.150000008,+21.804691315,+27.742395401,+11.067859650,+2.201345444,+0.667079926,-0.425444603,+0.063201845,+0.118768647,+30.004587173,+87.392021179,+452.640808105,-0.498553872,-2.577350378,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
9,0.166666675,+20.877155304,+26.658016205,+11.032587051,+2.328490019,+0.682706535,-0.448609352,+0.060539067,+0.100898691,+44.033412933,+85.264083862,+397.291809082,-0.481469989,-2.750794411,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
