# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=torus mode=4 steer=-1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
0,0.016666668,-28.732759476,-38.226692200,+9.339279175,+7.756987572,-0.610533774,-1.272180319,-0.081170671,+0.014753891,+161.495819092,+161.495819092,+322.183471680,+0.041400779,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,1,7
1,0.033333335,-28.755823135,-37.958438873,+9.329801559,+8.088726997,-0.428554177,-1.325954676,-0.081823267,+0.008971109,-45.723365784,+72.218353271,+154.797103882,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,7
2,0.050000003,-29.126480103,-37.559162140,+9.316190720,+8.414142609,-0.521671653,-1.378045321,-0.081752181,-0.050713643,-46.994758606,+77.671592712,+548.153686523,+0.600416720,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,10
3,0.066666670,-30.041959763,-36.931686401,+9.299761772,+8.626688004,-0.569072306,-1.410887957,-0.081689671,-0.022255067,+21.999212265,+94.815368652,+179.603408813,+0.000000000,+1.927315593,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,1,12
4,0.083333338,-30.521034241,-35.531475067,+9.286759377,+8.492448807,-0.406741828,-1.386664391,-0.083057255,-0.104963154,+57.960342407,+57.960342407,+532.417602539,+0.000000000,+0.526104093,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,13
5,0.100000005,-30.804321289,-33.384502411,+9.271381378,+9.073362350,-0.458982497,-1.480614185,-0.083515294,-0.004655804,+45.682231903,+93.241760254,+489.811859131,+1.071514726,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,1,11
6,0.116666673,-31.015384674,-31.263238907,+9.248580933,+9.469776154,-0.533856094,-1.542666674,-0.081783533,+0.104159802,-124.573669434,+124.573661804,+664.628662109,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,10
7,0.133333340,-30.556581497,-29.720497131,+9.232407570,+9.786597252,-0.507708669,-1.592489719,-0.080962449,+0.108025998,-106.462867737,+106.462867737,+1009.440307617,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,11
8,0.150000008,-29.777215958,-28.601230621,+9.204118729,+9.498073578,-0.717343867,-1.539923191,-0.074481301,-0.104679979,+44.555725098,+140.944030762,+811.829833984,+1.188105583,+0.745940685,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,8,13
9,0.166666675,-28.271043777,-26.729671478,+9.152384758,+9.993003845,-0.637672246,-1.612660170,-0.076475732,+0.106032580,-121.182983398,+121.182983398,+118.598632812,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
