# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=torus mode=4 steer=+1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
0,0.016666668,+34.160232544,+27.291179657,+9.525489807,-5.181774616,+0.541356623,+0.863832474,+0.079741493,+0.245699376,-89.416908264,+89.416908264,+160.281036377,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,9
1,0.033333335,+34.416435242,+27.454828262,+9.538375854,-5.158319950,+0.577187955,+0.861064434,+0.079738528,+0.120315917,-5.055953026,+56.028106689,+706.248779297,-1.284750938,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,11
2,0.050000003,+33.395282745,+27.951160431,+9.522697449,-5.684665680,+0.434175670,+0.947917700,+0.081758507,+0.016721243,-110.624877930,+110.624877930,+492.431152344,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,12
3,0.066666670,+32.114986420,+28.101390839,+9.482835770,-6.642480373,+0.497719467,+1.104327083,+0.081560850,-0.007755489,+89.243118286,+89.243118286,+206.243164062,+0.000000000,-0.594923854,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,1,10
4,0.083333338,+31.138669968,+28.678932190,+9.457654953,-6.545433044,+0.573950052,+1.085161209,+0.079719439,+0.127244681,-84.874046326,+84.874046326,+227.619567871,+0.000000000,-0.094105333,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,12
5,0.100000005,+30.462751389,+28.163425446,+9.468736649,-6.574911594,+0.659132957,+1.091368914,+0.077506289,-0.071053810,+62.761955261,+62.761955261,+972.975646973,-1.174727201,-0.902298987,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,5,13
6,0.116666673,+29.240369797,+27.541748047,+9.467277527,-6.740879536,+0.544021904,+1.118998170,+0.077509314,-0.059727192,+75.734123230,+137.297576904,+10.847983360,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
7,0.133333340,+28.198419571,+26.533958435,+9.429845810,-7.706720352,+0.591157377,+1.276091456,+0.075751163,-0.257394195,+41.084793091,+41.084796906,+252.695297241,+0.000000000,-0.860327482,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,12
8,0.150000008,+27.566595078,+25.568817139,+9.385515213,-7.973207951,+0.615989983,+1.314573050,+0.072679766,-0.066630222,+65.269531250,+65.269531250,+277.294464111,-0.769270897,+0.000000000,+0.022680692,+0.000000000,-0.025816083,+0.000000000,+0.000542824,+0.000000000,1,13
9,0.166666675,+27.369014740,+24.792951584,+9.363265991,-8.644731522,+0.594518900,+1.423539162,+0.071046576,-0.301227093,+67.729438782,+67.729446411,+74.975166321,-0.141675770,-0.704101026,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,13
10,0.183333343,+27.055154800,+23.951627731,+9.317750931,-7.926296711,+0.463273376,+1.297304034,+0.068773858,+0.009993187,+47.497516632,+47.497516632,+94.353500366,-0.898489654,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,14
11,0.200000010,+26.480741501,+23.764192581,+9.236372948,-8.774030685,+0.530540884,+1.425579906,+0.068697423,-0.157915816,+69.209487915,+69.209487915,+306.709655762,+0.000000000,-0.743405461,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,4,14
12,0.216666678,+25.764120102,+23.157627106,+9.173098564,-9.316995621,+0.568156183,+1.504946709,+0.067597382,-0.040628098,+70.670967102,+70.670967102,+82.079902649,-0.512015522,+0.000000000,+0.089838348,+0.000000000,+0.036501843,+0.000000000,+0.001440494,+0.000000000,3,14
13,0.233333346,+24.814987183,+22.767026901,+9.143642426,-9.659465790,+0.531163394,+1.556294560,+0.064243004,-0.286898524,+48.207988739,+48.207992554,+257.947692871,-0.016531734,-0.917464733,+0.000000000,+0.161122054,+0.000000000,-0.057311509,+0.000000000,-0.001886937,5,15
14,0.250000013,+23.673404694,+22.104801178,+9.086137772,-9.501152992,+0.478544176,+1.520686030,+0.063280813,+0.033033490,-65.794769287,+65.794769287,+54.709869385,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,13
15,0.266666681,+22.892581940,+21.439069748,+9.040171623,-9.729836464,+0.540770590,+1.550110459,+0.059587266,-0.277937382,+45.470985413,+45.470985413,+184.948745728,-0.515985787,-1.007191420,+0.000000000,+0.127243504,+0.000000000,-0.040566798,+0.000000000,-0.001194525,7,14
16,0.283333348,+21.755764008,+20.647808075,+8.987157822,-10.051062584,+0.596230507,+1.592938185,+0.059198402,+0.049412481,-58.494873047,+58.494873047,+35.180732727,+0.025792565,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,14
17,0.300000016,+20.671789169,+19.647817612,+8.940982819,-10.037340164,+0.498029560,+1.582545519,+0.056544755,-0.152833268,+43.518074036,+43.518074036,+288.338256836,+0.032166891,-0.636513352,+0.000000000,+0.383758336,+0.000000000,+0.222429410,+0.000000000,-0.005641816,5,13
18,0.316666683,+19.549526215,+18.993087769,+8.868258476,-10.443943977,+0.614019454,+1.634661555,+0.054342486,+0.002553727,+22.416900635,+68.833824158,+206.184539795,+0.060545579,+0.005356837,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,4,15
19,0.333333351,+18.605056763,+18.588739395,+8.817976952,-10.878408432,+0.682497680,+1.694628835,+0.049511265,-0.303443491,+84.865837097,+84.865837097,+103.285247803,+0.368520111,-0.342749953,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,8,15
20,0.350000018,+17.749826431,+17.581388474,+8.759409904,-10.812861443,+0.546152771,+1.672984958,+0.048874650,-0.046912014,+50.328521729,+50.328525543,+53.575378418,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
21,0.366666686,+17.535583496,+16.690469742,+8.735483170,-10.636830330,+0.476536810,+1.640613794,+0.044998817,-0.271820217,+45.357536316,+45.357536316,+171.392501831,+0.000000000,-0.723499417,+0.000000000,+0.292171210,+0.000000000,-0.107417189,+0.000000000,-0.002385315,3,13
22,0.383333353,+17.263208389,+15.285139084,+8.688882828,-10.952901840,+0.615422964,+1.681536913,+0.043798294,+0.080622688,+4.371528149,+57.139251709,+174.613464355,-0.892683089,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,15
