# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.500000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,-20.109092712,-19.336704254,+12.378228188,+0.739689231,-0.622924030,-0.159811974,-0.046230163,-0.116169311,+157.447616577,+12000.000000000,+101.039886475,-1.679369926,-0.584864020,-18.880102158,-16.642383575,-742.640563965,+91.259811401,+183.622344971,+10.558192253,-0.509443343,+0.232364818,-0.002774408,+0.022008011,+0.014492195,+0.092801891,+0.107683361,+0.057338107,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+47.943584442,+6.800953865,-278.202148438,-51.386760712,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-267.737884521,-32.583381653,+2.893095016,-18.095026016,+22.519041061,+23.869279861,+20.449926376,+23.062282562,+61.366416931,+55.464923859,+63.914207458,+59.368049622,1,1,1,1,true,true
0,0.016666668,released,-21.627305984,-19.600492477,+12.391263962,+0.547643542,-0.632313848,-0.118441582,-0.048821263,-0.202483863,+50.103984833,+50.103988647,+116.973724365,-1.921397567,+0.012240544,-20.608392715,-16.661361694,-803.442199707,+17.948883057,+183.419311523,+21.831666946,+0.557239234,+0.402269751,+0.003038062,+0.018425975,-0.015940595,+0.077824563,+0.115794092,+0.053375855,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+14.385645866,+23.901044846,-83.794967651,-183.203079224,+0.000000477,+0.000003815,+0.000000000,+0.000000000,-310.439727783,+86.045494080,-3.151760101,-15.248889923,+21.491666794,+23.259948730,+18.364547729,+23.045389175,+59.231853485,+55.758907318,+61.935073853,+59.640285492,1,1,1,1,true,true
1,0.033333335,released,-23.061046600,-19.564849854,+12.411671638,+0.425447404,-0.606494009,-0.092164040,-0.051181383,-0.162509128,+51.697372437,+51.697372437,+132.558181763,-1.615208507,+0.111421928,-21.743721008,-16.564422607,-810.026977539,-81.273994446,+174.846008301,+14.791190147,+0.934688985,+0.245496765,+0.005345784,+0.016597498,-0.028744470,+0.068666980,+0.123125464,+0.052855328,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+56.321445465,-15.311565399,-328.098571777,+117.628890991,+0.000000000,+0.000007629,+0.000000000,+0.000000000,-363.026641846,+64.571365356,-5.679433823,-13.520572662,+20.447975159,+23.149875641,+16.730924606,+23.288516998,+57.389266968,+55.937225342,+60.364013672,+59.807132721,1,1,1,1,true,true
2,0.050000004,released,-24.265348434,-19.446008682,+12.396455765,+0.378583312,-0.593432486,-0.081911087,-0.053057555,-0.162982300,+53.255817413,+53.255817413,+331.249877930,-1.674797893,+0.027911989,-22.675300598,-16.386829376,-867.555969238,-123.915031433,+168.867752075,+18.818130493,+1.001888394,+0.301392317,+0.005932976,+0.016016060,-0.034227472,+0.064990819,+0.122362360,+0.054699197,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+105.746582031,-52.892814636,-617.418701172,+404.553222656,+0.000000000,-0.000007629,+0.000000000,+0.000000000,-434.876312256,+9.263704300,-6.723667145,-12.816888809,+19.405569077,+23.213008881,+15.355010986,+23.495954514,+56.499801636,+56.375267029,+59.688167572,+60.153629303,1,1,1,1,true,true
3,0.066666670,released,-25.559906006,-19.441633224,+12.361741066,+0.231341556,-0.573935688,-0.049912930,-0.054779850,-0.195681691,+73.124984741,+73.124984741,+513.183654785,-1.794454575,-0.160055488,-23.922424316,-16.210653305,-943.375122070,-178.948486328,+174.905975342,+25.494564056,+1.212901115,+0.388366461,+0.006934589,+0.015233304,-0.041986011,+0.061367553,+0.120593734,+0.055794101,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+159.101852417,-89.083114624,-933.766052246,+680.295043945,-0.000003815,+0.000000000,+0.000000000,+0.000000000,-486.927673340,+17.198627472,-8.198879242,-12.113105774,+18.147165298,+23.075160980,+13.781079292,+23.500371933,+55.778560638,+57.060951233,+59.133049011,+60.635696411,1,1,1,1,true,true
4,0.083333336,released,-26.907976151,-19.586799622,+12.330383301,+0.039444350,-0.552508533,-0.008488655,-0.057013951,-0.224912360,+91.318367004,+91.318367004,+685.199340820,-1.804738760,-0.360902131,-25.286756516,-16.297513962,-1007.439514160,-254.546646118,+182.259948730,+22.905708313,+1.404785156,+0.330802321,+0.007707591,+0.014441917,-0.047535595,+0.058131590,+0.121603034,+0.056257155,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+209.190551758,-127.639724731,-1234.832641602,+976.212890625,-0.000003815,+0.000000000,+0.000000000,+0.000000000,-530.682678223,+35.652790070,-9.271593094,-11.483004570,+16.771474838,+22.757219315,+12.203607559,+23.300148010,+55.139495850,+57.828155518,+58.646385193,+61.152236938,1,1,1,1,true,true
5,0.100000009,released,-28.255365372,-19.903240204,+12.306653976,-0.134724811,-0.538538218,+0.028937817,-0.059498738,-0.232919797,+108.519927979,+108.519935608,+811.961547852,-1.687634706,-0.498222321,-26.643432617,-16.577825546,-1055.195556641,-329.064270020,+187.554107666,+23.151765823,+1.612698317,+0.315824211,+0.008598576,+0.013641474,-0.053819519,+0.054994993,+0.124442630,+0.055657741,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+249.960174561,-160.265228271,-1483.525268555,+1231.788330078,+0.000000000,-0.000015259,+0.000000000,+0.000000000,-576.657958984,+38.429473877,-10.521314621,-10.870775223,+15.465601921,+22.287359238,+10.643575668,+22.944864273,+54.278621674,+58.496864319,+57.955455780,+61.612907410,1,1,1,1,true,true
6,0.116666675,released,-29.511091232,-20.377983093,+12.285327911,-0.298080236,-0.530965209,+0.063914776,-0.061982289,-0.235203713,+121.196159363,+121.196159363,+876.936340332,-1.468161225,-0.596260369,-27.896284103,-17.004632950,-1086.513183594,-387.342224121,+191.822296143,+24.999893188,+1.828053474,+0.319114715,+0.009529932,+0.012764643,-0.061368082,+0.051340420,+0.127759367,+0.054362610,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+276.686614990,-181.736022949,-1650.099609375,+1408.252929688,+0.000007629,+0.000000000,+0.000000000,+0.000000000,-615.471557617,+25.346086502,-12.021828651,-10.156654358,+14.323991776,+21.704542160,+9.183814049,+22.503143311,+53.226726532,+58.958038330,+57.074420929,+61.944034576,1,1,1,1,true,true
7,0.133333340,released,-30.637628555,-20.994361877,+12.260152817,-0.463685930,-0.531003535,+0.099221706,-0.064349800,-0.237143159,+127.693626404,+127.693634033,+879.974548340,-1.261875749,-0.697657406,-28.943965912,-17.546344757,-1139.602539062,-424.643524170,+196.479293823,+27.656421661,+2.003849983,+0.328799009,+0.010198785,+0.011888704,-0.068680704,+0.047375355,+0.131591409,+0.052885011,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+286.892608643,-190.014465332,-1718.255615234,+1489.221435547,-0.000007629,-0.000007629,+0.000000000,+0.000000000,-637.163269043,+6.123542786,-13.456468582,-9.381565094,+13.344286919,+21.023866653,+7.857394695,+21.989679337,+52.037700653,+59.183517456,+56.087364197,+62.119461060,1,1,1,1,true,true
8,0.150000006,released,-31.655086517,-21.747825623,+12.227386475,-0.617235482,-0.536083043,+0.131728172,-0.066678539,-0.242892221,+127.997451782,+127.997459412,+863.618041992,-1.110152006,-0.823727071,-29.834619522,-18.188812256,-1198.713989258,-450.747375488,+197.887054443,+30.562770844,+2.098960400,+0.339624047,+0.010606861,+0.011112344,-0.076064184,+0.043586612,+0.134845555,+0.051628780,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+291.196655273,-193.100051880,-1751.665161133,+1536.100341797,+0.000007629,-0.000007629,+0.000000000,+0.000000000,-655.965698242,-4.664188385,-14.872117996,-8.643250465,+12.461115837,+20.224622726,+6.614750862,+21.372461319,+50.832416534,+59.211139679,+55.075092316,+62.158473969,1,1,1,1,true,true
