# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.430000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,+15.729636192,+15.858562469,+12.685231209,-0.540903449,+0.640421808,+0.119759083,+0.037423573,+0.379525512,-200.789443970,+12000.000000000,+260.172851562,+0.143043339,+0.260215938,+12.761484146,+14.626723289,+180.005310059,-468.085052490,+14.881049156,+171.502670288,-0.326047540,+1.040163636,-0.021910252,+0.006065000,+0.090473771,+0.030394807,+0.053631064,+0.110507429,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-31.173267365,-79.166954041,+225.523925781,+455.671386719,-0.000001907,-0.000003815,+0.000000000,+0.000000000,+32.429107666,+220.867095947,+17.685083389,-5.944731712,+27.612304688,+26.773239136,+26.767995834,+25.331428528,+54.362392426,+63.203540802,+58.534336090,+65.386466980,1,1,1,1,true,true
0,0.016666668,released,+15.744722366,+16.735725403,+12.709014893,-0.447703391,+0.640565157,+0.099308968,+0.037542209,+0.424961418,-66.017288208,+66.017288208,+343.370056152,-0.258772254,+0.713108003,+12.459918022,+15.543549538,+188.781539917,-508.771423340,+16.986928940,+171.855453491,-0.318648666,+0.023015052,-0.018758463,+0.000133921,+0.076735422,+0.000942525,+0.052124053,+0.114661232,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-73.505210876,-30.866779327,+535.746643066,+178.023345947,+0.000003815,+0.000000000,+0.000000000,+0.000000000,-83.478042603,+298.130645752,+15.070600510,-0.110705853,+27.307273865,+26.381753922,+27.005874634,+23.898956299,+54.495445251,+61.076278687,+58.699359894,+63.408481598,1,1,1,1,true,true
1,0.033333335,released,+15.465301514,+17.421737671,+12.727081299,-0.323153108,+0.622510791,+0.071782589,+0.038923115,+0.466752946,-74.337005615,+74.337005615,+234.995605469,-0.323206395,+0.368843973,+12.162711143,+16.039804459,+90.274192810,-552.157165527,+14.689393044,+169.256332397,-0.258637995,-0.287373662,-0.017607126,-0.001697861,+0.070990741,-0.008431636,+0.052471630,+0.118453473,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-35.826602936,-65.638839722,+260.078979492,+378.112701416,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-62.955383301,+331.859436035,+13.983004570,+1.748468995,+27.511575699,+25.883016586,+27.407552719,+22.990169525,+54.657485962,+59.738067627,+58.887359619,+62.309818268,1,1,1,1,true,true
2,0.050000004,released,+15.189573288,+17.961870193,+12.704728127,-0.294371158,+0.619958103,+0.065274239,+0.039959956,+0.448554784,-63.499565125,+63.499561310,+165.610702515,-0.188037276,+0.434906870,+11.842047691,+16.451976776,+27.190620422,-569.098571777,+13.722749710,+168.334548950,-0.236746818,-0.297689438,-0.017252142,-0.001768439,+0.068943098,-0.009213947,+0.054931473,+0.117443591,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-7.828522682,-95.645622253,+56.377555847,+550.860107422,+0.000003815,+0.000000000,+0.000000000,+0.000000000,-16.532651901,+387.937255859,+13.585069656,+1.899047971,+27.727970123,+25.314275742,+27.687068939,+22.304126740,+55.303417206,+59.315422058,+59.353275299,+62.076717377,1,1,1,1,true,true
3,0.066666670,released,+15.036595345,+18.574113846,+12.667682648,-0.174985647,+0.601438105,+0.038688183,+0.040398847,+0.455541551,-56.561073303,+56.561073303,+204.104370117,-0.078759953,+0.475950480,+11.461413383,+17.157205582,-54.472644806,-590.660888672,+21.611173630,+173.967224121,-0.357882857,-0.515834749,-0.016560085,-0.002965126,+0.066466764,-0.015964989,+0.055561204,+0.116032809,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+10.421751022,-121.068443298,-74.788887024,+698.439880371,+0.000000000,+0.000000894,+0.000000000,+0.000000000,-52.955307007,+425.605682373,+13.103892326,+3.231324673,+27.719881058,+24.705276489,+27.760086060,+21.429790497,+56.138465881,+58.699668884,+59.940242767,+61.611118317,1,1,1,1,true,true
4,0.083333336,released,+14.903837204,+19.159004211,+12.642251015,-0.021647410,+0.589293778,+0.004776478,+0.041176397,+0.479302198,-60.410438538,+60.410438538,+331.937286377,-0.110850900,+0.385592818,+11.276177406,+17.821577072,-154.233184814,-626.455688477,+23.455677032,+179.073516846,-0.368812740,-0.700989842,-0.015723815,-0.003914536,+0.063450769,-0.021275315,+0.055165894,+0.116353929,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+37.195423126,-151.493347168,-266.483245850,+875.140563965,+0.000000000,-0.000000954,+0.000000000,+0.000000000,-96.436370850,+454.321746826,+12.528186798,+4.287758350,+27.660449982,+24.105970383,+27.792461395,+20.661474228,+56.977706909,+58.149372101,+60.539432526,+61.183971405,1,1,1,1,true,true
5,0.100000009,released,+14.741422653,+19.646795273,+12.626693726,+0.087933920,+0.579883873,-0.019378662,+0.042005312,+0.464658618,-73.193725586,+73.193725586,+414.059539795,-0.157129705,+0.277216434,+11.085023880,+18.299077988,-218.109512329,-665.947631836,+21.241323471,+180.956771851,-0.314960033,-0.830814421,-0.014827703,-0.004591231,+0.059896585,-0.025082707,+0.054983243,+0.116830610,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+57.200405121,-171.567687988,-408.541992188,+992.142822266,+0.000000000,-0.000001907,+0.000000000,+0.000000000,-94.134399414,+474.853973389,+11.845474243,+5.056168556,+27.681644440,+23.612730026,+27.910636902,+20.048406601,+57.778793335,+57.670391083,+61.104759216,+60.815898895,1,1,1,1,true,true
6,0.116666675,released,+14.579860687,+20.010164261,+12.611310959,+0.183423683,+0.575973868,-0.040373325,+0.042547368,+0.444847614,-81.405960083,+81.405960083,+475.262878418,-0.171259254,+0.150500208,+10.857464790,+18.611700058,-258.794036865,-709.854614258,+23.753849030,+182.098632812,-0.332895279,-0.954607129,-0.014014372,-0.005242253,+0.056557864,-0.028797537,+0.054490533,+0.116912067,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+73.845993042,-188.923873901,-525.466735840,+1093.546264648,+0.000007629,-0.000001907,+0.000000000,+0.000000000,-65.229911804,+491.985992432,+11.198565483,+5.806740761,+27.772159576,+23.258838654,+28.078994751,+19.581144333,+58.432113647,+57.217163086,+61.576202393,+60.458480835,1,1,1,1,true,true
7,0.133333340,released,+14.453613281,+20.233861923,+12.591897011,+0.280855775,+0.577460647,-0.061724186,+0.042903319,+0.430278301,-87.526290894,+87.526290894,+513.215087891,-0.140768692,+0.024339709,+10.675185204,+18.749889374,-291.414520264,-756.170166016,+26.263978958,+183.244018555,-0.349221647,-1.045896411,-0.013296601,-0.005707670,+0.053454302,-0.031445470,+0.053806532,+0.116812453,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+86.017997742,-201.469711304,-610.352233887,+1167.045166016,-0.000007629,-0.000009537,+0.000000000,+0.000000000,-34.778320312,+501.402069092,+10.593643188,+6.344504356,+27.864938736,+23.032634735,+28.244091034,+19.286893845,+58.921382904,+56.851219177,+61.934616089,+60.172645569,1,1,1,1,true,true
8,0.150000006,released,+14.379916191,+20.334014893,+12.566316605,+0.375540107,+0.578737020,-0.082365990,+0.042989247,+0.403649539,-91.321510315,+91.321510315,+522.711853027,-0.084861800,-0.072871104,+10.524572372,+18.743061066,-365.611450195,-767.829284668,+28.158868790,+184.489425659,-0.357519984,-1.109923005,-0.012696533,-0.006016188,+0.050691336,-0.033127755,+0.052987643,+0.116724245,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+91.492843628,-207.816421509,-648.665466309,+1204.367065430,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-22.313318253,+318.181335449,+10.052698135,+6.691314697,+27.911413193,+22.923307419,+28.362007141,+19.145315170,+59.245479584,+56.546726227,+62.181129456,+59.939811707,1,1,1,1,true,true
