# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=sphere mode=0 steer=-1.000000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,-34.572196960,-29.213687897,+11.190929413,-1.632590652,-0.649045587,+0.318961620,-0.080693342,-0.062574066,-1006.934814453,+12000.000000000,+885.699340820,-0.748196006,+0.194541276,-30.671714783,-23.588319778,-1152.710571289,-316.563293457,+155.018569946,+27.178939819,+1.063281775,+0.628396630,+0.006859061,+0.023120718,-0.023272887,+0.086471081,+0.158211038,+0.089830279,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+121.165519714,-180.482513428,-745.127502441,+1646.096679688,-0.000001907,-0.000007629,+0.000000000,+0.000000000,+242.262969971,+68.317131042,-5.058184624,-17.000993729,+8.919963837,+13.158485413,+4.688767433,+13.115035057,+56.338455200,+60.313461304,+60.305500031,+62.903621674,1,1,1,1,true,true
0,0.016666668,released,-35.005413055,-28.946474075,+11.193144798,-1.652734518,-0.642033279,+0.322963238,-0.079789117,-0.054830097,-128.569946289,+128.569946289,+594.258300781,-0.845139384,+0.390601009,-31.094642639,-23.070577621,-1169.630981445,-401.078033447,+155.624084473,+27.881784439,+2.102953196,+0.509688675,+0.013513031,+0.018280346,-0.047756083,+0.068085477,+0.160838649,+0.086681217,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+150.667251587,-108.851974487,-929.157348633,+995.059143066,+0.000000000,+0.000003815,+0.000000000,+0.000000000,+128.042480469,+39.329856873,-9.971077919,-13.443176270,+8.681815147,+13.107436180,+3.750941515,+13.727565765,+55.052272797,+60.985820770,+58.996177673,+63.287490845,1,1,1,1,true,true
1,0.033333335,released,-35.136367798,-28.617490768,+11.184113503,-1.716611385,-0.657064676,+0.335182190,-0.078939669,-0.048675098,-99.425827026,+99.425827026,+644.883178711,-0.494688272,+0.445678413,-31.388002396,-22.847475052,-1158.816650391,-533.139282227,+155.709274292,+31.559509277,+2.254464388,+0.534625053,+0.014478678,+0.016940221,-0.051096957,+0.062822893,+0.166556135,+0.082016468,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+173.552261353,-121.089965820,-1068.424804688,+1103.689331055,+0.000007629,-0.000007629,+0.000000000,+0.000000000,+165.670166016,+36.213066101,-10.683036804,-12.455256462,+8.667745590,+13.339980125,+3.543764830,+14.203331947,+54.263877869,+60.934913635,+58.299144745,+63.272586823,1,1,1,1,true,true
2,0.050000004,released,-34.895584106,-28.161195755,+11.146446228,-1.695845842,-0.641581595,+0.330009937,-0.078339361,-0.043539129,-104.488319397,+104.488319397,+623.328491211,+0.339477420,+0.539081812,-31.108760834,-22.280870438,-885.304504395,-574.982666016,+149.956039429,+36.699630737,+2.044763803,+0.578019798,+0.013635755,+0.015750017,-0.047392398,+0.058278643,+0.176677629,+0.078000948,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+177.013244629,-122.346702576,-1083.431518555,+1105.962646484,-0.000005364,+0.000000000,+0.000000000,+0.000000000,-149.678009033,+31.868116379,-10.059654236,-11.585525513,+7.979361057,+13.716460228,+4.447931767,+14.808837891,+55.031204224,+60.979911804,+57.591339111,+63.315582275,1,1,1,1,true,true
3,0.066666670,released,-33.812267303,-27.621629715,+11.107033730,-1.745591879,-0.634298921,+0.338495255,-0.077399373,-0.014149509,-99.980575562,+102.332855225,+607.539062500,+0.560954630,+0.602274358,-30.145500183,-21.578227997,-1457.365356445,-576.649658203,+139.981750488,+44.514942169,+1.591655970,+0.643080711,+0.011370453,+0.014446401,-0.038484730,+0.053271621,+0.186272815,+0.074572846,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+180.981140137,-125.180770874,-1095.797607422,+1118.583251953,-0.000007629,-0.000007629,+0.000000000,+0.000000000,-373.675201416,+23.502017975,-8.383153915,-10.621034622,+9.970849991,+14.181189537,+5.541875362,+15.471462250,+52.818557739,+61.083026886,+56.546901703,+63.404518127,1,1,1,1,true,true
4,0.083333336,released,-33.344909668,-26.961450577,+11.094051361,-1.831980467,-0.642063260,+0.354843140,-0.075458646,-0.004085029,-100.753906250,+100.753906250,+510.632629395,+0.544768870,+0.631493628,-29.537410736,-20.673444748,-1523.101806641,-583.284790039,+156.727569580,+46.952041626,+2.684028864,+0.656708121,+0.017125443,+0.013986785,-0.060002316,+0.051495921,+0.187970936,+0.071378745,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+164.341384888,-112.940887451,-993.551391602,+994.582458496,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-389.252288818,+14.471172333,-12.633279800,-10.288539886,+10.893867493,+14.835072517,+5.410582066,+16.169082642,+51.032581329,+61.179012299,+55.182220459,+63.491855621,1,1,1,1,true,true
5,0.100000009,released,-32.465412140,-26.251846313,+11.073816299,-1.881296992,-0.649042189,+0.363737583,-0.073677391,-0.015645407,-68.656066895,+127.488563538,+500.745239258,+0.492395878,+0.666870356,-28.356088638,-19.786979675,-1525.716796875,-622.459167480,+157.844314575,+47.942733765,+2.687636137,+0.651751041,+0.017027132,+0.013594366,-0.059822146,+0.049972475,+0.182827249,+0.068873897,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+168.883102417,-114.883865356,-1021.653442383,+993.910522461,-0.000007629,+0.000000000,+0.000000000,+0.000000000,-381.461914062,+20.349613190,-12.557588577,-9.995927811,+11.398491859,+15.557106972,+6.008264542,+16.895959854,+51.172279358,+61.421291351,+55.418773651,+63.679897308,1,1,1,1,true,true
6,0.116666675,released,-31.619159698,-25.575874329,+11.031541824,-1.954670906,-0.641184449,+0.376492023,-0.071736664,+0.034035638,-90.074523926,+90.074523926,+563.735778809,+0.280335307,+0.583755434,-27.301034927,-18.979127884,-1557.239013672,-690.176208496,+159.648193359,+46.009319305,+2.531246424,+0.631766737,+0.015855152,+0.013731278,-0.055711612,+0.050416060,+0.173940256,+0.064942770,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+187.707778931,-133.184494019,-1137.496582031,+1135.401000977,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-403.295318604,-16.092906952,-11.691011429,-10.094632149,+11.718326569,+16.315015793,+6.642051220,+17.435153961,+52.007968903,+62.262321472,+56.256992340,+63.856227875,1,1,1,1,true,true
7,0.133333340,released,-30.892797470,-24.905097961,+10.978487015,-2.114527225,-0.647872567,+0.405350208,-0.070244312,-0.053425550,+42.447151184,+96.373580933,+507.769439697,+0.352888405,+0.780706882,-26.618137360,-18.436878204,-1625.842407227,-774.187622070,+165.609405518,+43.769210815,+2.564497232,+0.569757044,+0.015485215,+0.013017302,-0.054544900,+0.047761209,+0.167787135,+0.060666643,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+191.978942871,-119.956146240,-1163.171997070,+1010.123596191,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-400.902801514,+13.889654160,-11.420028687,-9.574452400,+12.121065140,+16.958631516,+7.257389545,+18.229555130,+52.451606750,+61.855857849,+56.718627930,+63.908042908,1,1,1,1,true,true
8,0.150000006,released,-30.241142273,-24.213678360,+10.928953171,-2.267789841,-0.656930089,+0.432798386,-0.069169208,-0.052019533,+23.166341782,+90.776947021,+419.542114258,+0.474523216,+0.764021575,-26.112163544,-17.536630630,-1708.453125000,-840.519104004,+172.887069702,+43.956687927,+2.704337835,+0.479498148,+0.015642222,+0.010908423,-0.055169363,+0.039950412,+0.167353705,+0.057400540,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+163.487411499,-105.540725708,-987.413146973,+876.707153320,-0.000003815,-0.000007629,+0.000000000,+0.000000000,-381.279632568,+31.407098770,-11.540451050,-8.022624969,+12.723682404,+17.574209213,+7.912978649,+19.107467651,+52.106685638,+61.816192627,+56.465763092,+63.951091766,1,1,1,1,true,true
