# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=sphere mode=0 steer=+1.000000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,+28.842384338,+31.599121094,+11.289418221,+1.607307196,+0.656222701,-0.316782951,+0.077158794,+0.271369845,+787.468933105,+12000.000000000,+852.913818359,-0.218518466,-0.108495936,+23.372005463,+27.851747513,-268.198211670,-773.341247559,+25.720010757,+154.670104980,-0.606366634,-0.709758520,-0.023575677,-0.004588854,+0.088177428,-0.015239459,+0.090564236,+0.152463526,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+158.382278442,-154.351821899,-1432.030639648,+935.070922852,+0.000000000,+0.000003815,+0.000000000,+0.000000000,-56.685325623,-212.225936890,+17.333339691,+3.387139797,+13.555728912,+11.700424194,+13.434423447,+7.922496319,+60.111782074,+57.467212677,+62.785457611,+61.209659576,1,1,1,1,true,true
0,0.016666668,released,+28.561538696,+31.840993881,+11.294921875,+1.563463211,+0.656156778,-0.308287621,+0.075179726,+0.201377183,+63.081504822,+125.291381836,+364.215637207,-0.448853910,+0.278848499,+22.636650085,+28.141855240,-373.729766846,-729.497619629,+26.547885895,+152.868988037,-0.503219545,-1.708840489,-0.018955164,-0.011178464,+0.070535325,-0.039436400,+0.087545305,+0.153783634,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+48.089759827,-145.369888306,-436.344268799,+882.442199707,+0.000003815,+0.000000000,+0.000000000,+0.000000000,-6.522144318,-94.991950989,+13.940998077,+8.248865128,+13.535881996,+11.655153275,+14.052306175,+7.203608990,+60.855445862,+56.360397339,+63.213962555,+60.004390717,1,1,1,1,true,true
1,0.033333335,released,+28.069776535,+31.736919403,+11.284970284,+1.547865510,+0.660543799,-0.304941654,+0.074955299,+0.205787495,+32.725166321,+76.421569824,+490.499816895,-0.636449099,-0.707226038,+22.361812592,+27.916761398,-521.124023438,-878.010437012,+32.519386292,+147.092193604,-0.566784799,-1.572426081,-0.017429136,-0.010690072,+0.064598814,-0.037086256,+0.082784317,+0.162594467,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+74.027565002,-178.762680054,-666.257690430,+1078.919189453,+0.000007629,-0.000000715,+0.000000000,+0.000000000,-6.781936646,+115.839096069,+12.817858696,+7.884755135,+13.947433472,+10.920730591,+14.718979836,+7.850492477,+60.768817902,+57.270523071,+63.184047699,+59.437183380,1,1,1,1,true,true
2,0.050000004,released,+27.396358490,+30.972740173,+11.251407623,+1.577142596,+0.649975061,-0.309788227,+0.073209919,+0.124547854,+85.551185608,+89.049987793,+343.730834961,-0.743852854,-0.640476584,+21.636192322,+27.299160004,-469.752807617,-1008.952819824,+35.053977966,+139.433349609,-0.573431790,-1.132434845,-0.016358538,-0.008121693,+0.060510471,-0.027126957,+0.079488397,+0.173445478,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+52.160263062,-133.815383911,-463.098937988,+799.496826172,+0.000007629,+0.000000000,+0.000000000,+0.000000000,+10.155645370,+285.792297363,+12.030457497,+5.990807533,+14.562088966,+12.535803795,+15.526599884,+8.728468895,+60.914928436,+55.399986267,+63.297935486,+58.635833740,1,1,1,1,true,true
3,0.066666670,released,+26.564220428,+30.684753418,+11.225391388,+1.619828463,+0.650046110,-0.317441463,+0.071420215,+0.148370847,-7.988433361,+74.373085022,+349.000793457,-0.859772801,-0.715613246,+20.428405762,+27.018243790,-392.791534424,-1138.460083008,+44.729583740,+149.228271484,-0.711214244,-2.092060804,-0.015900310,-0.014019199,+0.058707729,-0.048911095,+0.076388977,+0.176029637,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+55.944854736,-155.432434082,-487.787292480,+928.011596680,+0.000007629,-0.000007629,+0.000000000,+0.000000000,+13.121329308,+346.755462646,+11.692180634,+10.338117599,+15.377098083,+13.351940155,+16.400346756,+8.474922180,+60.844066620,+53.404323578,+63.277641296,+57.098140717,1,1,1,1,true,true
4,0.083333336,released,+25.604951859,+29.998233795,+11.205319405,+1.649107814,+0.644293725,-0.322604656,+0.070214257,+0.166606829,+0.516450346,+74.900085449,+465.696319580,-0.939422965,-0.757377923,+19.418100357,+25.929767609,-448.244842529,-1163.343994141,+44.395557404,+149.002960205,-0.682515502,-2.042319775,-0.015373509,-0.013706571,+0.056648821,-0.047890391,+0.074174620,+0.171387732,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+84.825523376,-190.971679688,-722.925720215,+1141.486938477,+0.000007629,-0.000007629,+0.000000000,+0.000000000,-12.970640182,+360.782409668,+11.303924561,+10.106414795,+16.313074112,+13.738327026,+17.355339050,+8.959240913,+61.033473969,+53.526206970,+63.408809662,+57.330448151,1,1,1,1,true,true
5,0.100000009,released,+24.650043488,+29.436546326,+11.179231644,+1.734259486,+0.631970406,-0.338482380,+0.069010407,+0.161396638,+20.074995041,+86.569633484,+483.977294922,-0.888839960,-0.565238833,+18.309329987,+25.307447433,-559.264221191,-1167.809936523,+39.902786255,+152.908828735,-0.617728770,-1.885764956,-0.015480843,-0.012332610,+0.057026364,-0.043117113,+0.070884600,+0.163351595,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+92.221420288,-194.737091064,-770.016235352,+1167.609741211,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+2.160728455,+347.299133301,+11.382070541,+9.096320152,+17.307634354,+13.829580307,+18.165632248,+9.354452133,+61.833007812,+54.338935852,+63.630119324,+58.154029846,1,1,1,1,true,true
6,0.116666675,released,+23.707731247,+28.989557266,+11.140812874,+1.905056000,+0.642158508,-0.370563030,+0.067138836,+0.174743518,+0.039932724,+88.397735596,+534.898803711,-1.061625242,-0.567626119,+17.425987244,+24.926225662,-645.398986816,-1235.105957031,+40.916065216,+162.467773438,-0.601038635,-2.019058943,-0.014689551,-0.012427443,+0.054010767,-0.043552004,+0.067357220,+0.159512982,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+106.918334961,-223.953018188,-875.926940918,+1344.002807617,+0.000000000,+0.000003815,+0.000000000,+0.000000000,-9.579891205,+382.806701660,+10.798761368,+9.167252541,+18.227327347,+14.010204315,+19.186656952,+9.653641701,+61.678947449,+54.478199005,+63.807598114,+58.352325439,1,1,1,1,true,true
7,0.133333340,released,+22.756389618,+28.502086639,+11.102226257,+2.056122065,+0.651066482,-0.398586750,+0.065464228,+0.148776069,+8.610934258,+93.489883423,+473.920196533,-1.043735027,-0.836832523,+16.274230957,+24.544332504,-718.906188965,-1315.124267578,+39.707611084,+169.782714844,-0.496743739,-2.263276815,-0.012510038,-0.013330432,+0.045897186,-0.046820730,+0.064049661,+0.161688417,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+101.283782959,-211.501693726,-815.303955078,+1265.920166016,-0.000007629,+0.000003815,+0.000000000,+0.000000000,-12.626464844,+382.347106934,+9.199230194,+9.838145256,+19.094907761,+14.488326073,+20.297775269,+10.060007095,+61.844577789,+53.742069244,+63.979034424,+57.769756317,1,1,1,1,true,true
8,0.150000006,released,+21.804691315,+27.742395401,+11.067859650,+2.201345444,+0.667079926,-0.425444603,+0.063201845,+0.118768647,+30.004587173,+87.392021179,+452.640808105,-0.987520218,-1.160276651,+15.102104187,+23.726629257,-750.098815918,-1380.239868164,+44.040733337,+174.444259644,-0.498553872,-2.577350378,-0.011320290,-0.014774635,+0.041453693,-0.051975973,+0.060736950,+0.166841075,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+104.910987854,-211.527679443,-830.212219238,+1259.441772461,+0.000000000,-0.000007629,+0.000000000,+0.000000000,-22.037006378,+410.464630127,+8.324007034,+10.900834084,+20.034337997,+15.401369095,+21.334541321,+10.755685806,+61.957912445,+52.558712006,+64.116821289,+56.773452759,1,1,1,1,true,true
9,0.166666672,released,+20.877155304,+26.658016205,+11.032587051,+2.328490019,+0.682706535,-0.448609352,+0.060539067,+0.100898691,+44.033412933,+85.264083862,+397.291809082,-0.910355270,-1.382430077,+14.000680923,+22.417270660,-745.233215332,-1404.357177734,+45.808719635,+175.189270020,-0.481469989,-2.750794411,-0.010510444,-0.015701843,+0.038433582,-0.055299982,+0.058221862,+0.170083851,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+97.159378052,-197.008377075,-756.249267578,+1166.579223633,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-20.407089233,+413.681488037,+7.727626801,+11.585004807,+20.972627640,+16.583473206,+22.327102661,+11.796101570,+62.094051361,+51.677200317,+64.255279541,+56.018489838,1,1,1,1,true,true
