# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=torus mode=4 steer=-1.000000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,-27.764677048,-38.438758850,+9.333049774,+7.695576191,-0.680136144,-1.261144161,-0.079166040,-0.020395085,+433.231231689,+12000.000000000,+1214.958251953,-0.761021793,-0.291553378,-31.682363510,-41.434398651,-1255.872436523,-891.324401855,+230.528381348,+0.000000000,-2.457963467,+0.000000000,-0.010662303,+0.000000000,-0.001095422,+0.000000000,+0.100991830,+0.000000000,+0.000000477,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-258.973754883,+141.087417603,+1597.600341797,-1736.375854492,+0.000001073,+0.000001907,+0.000000000,+0.000000000,+522.078613281,-194.959228516,+10.909378052,-20.097177505,+13.975838661,+3.511758566,+14.873029709,+3.361016273,+65.914863586,+65.894241333,+67.116958618,+67.116531372,4,0,6,3,true,false
0,0.016666668,released,-28.732759476,-38.226692200,+9.339279175,+7.756987572,-0.610533774,-1.272180319,-0.081170671,+0.014753891,+161.495819092,+161.495819092,+322.183471680,-1.407017708,+0.035343047,-34.816261292,-41.176002502,-1265.671752930,-668.849792480,+13.304390907,+0.000000000,+0.041400779,+0.000000000,+0.003111813,+0.000000000,-0.036611222,+0.000000000,+0.106973886,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-32.286766052,+56.754741669,+198.823196411,-689.576599121,+0.000003815,+0.000000477,+0.000000000,+0.000000000,-74.492065430,-93.736320496,+0.412129760,-17.272779465,+13.256686211,+3.464258194,+12.392031670,+3.558490753,+66.262474060,+67.389389038,+66.954597473,+68.086090088,1,0,7,0,true,false
1,0.033333335,released,-28.755823135,-37.958438873,+9.329801559,+8.088726997,-0.428554177,-1.325954676,-0.081823267,+0.008971109,-45.723365784,+72.218353271,+154.797103882,-0.067977503,+0.153620958,-31.548303604,-43.830955505,-933.347045898,-758.284484863,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+29.007261276,+23.572929382,-177.824981689,-279.676452637,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-108.742874146,+250.298614502,-0.405150533,-17.354940414,+13.461991310,+3.951800346,+12.301136017,+3.817341328,+65.575675964,+67.176406860,+66.384078979,+67.999313354,0,0,7,0,false,false
2,0.050000004,released,-29.126480103,-37.559162140,+9.316190720,+8.414142609,-0.521671653,-1.378045321,-0.081752181,-0.050713643,-46.994758606,+77.671592712,+548.153686523,-0.647840858,+0.484699041,-32.048965454,-44.338684082,-893.868957520,-617.276000977,+131.818527222,+0.000000000,+0.600416720,+0.000000000,+0.004554873,+0.000000000,-0.066997319,+0.000000000,+0.100503616,+0.000000000,+0.000003040,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-66.141540527,+91.184349060,+406.274414062,-1062.124755859,+0.000000954,+0.000000000,+0.000000000,+0.000000000,+49.912887573,+9.204002380,+1.424741864,-17.699914932,+13.102614403,+4.406619072,+12.077136040,+4.146064758,+66.662872314,+66.532691956,+67.496047974,+67.455703735,3,0,7,3,true,false
3,0.066666670,released,-30.041959763,-36.931686401,+9.299761772,+8.626688004,-0.569072306,-1.410887957,-0.081689671,-0.022255067,+21.999212265,+94.815368652,+179.603408813,-1.276701927,+1.112953901,-35.558116913,-42.693683624,-930.965393066,-505.464660645,+0.000000000,+100.574012756,+0.000000000,+1.927315593,+0.000000000,+0.019163158,+0.000000000,+0.032835513,+0.000000000,+0.105948195,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+92.248138428,+6.981070042,-574.364868164,-79.842819214,+0.000000000,-0.000000954,+0.000000000,+0.000000000,-138.019348145,+44.061485291,+0.391378760,-16.900814056,+11.847352028,+5.044490814,+10.966383934,+4.902104855,+67.549354553,+65.325843811,+68.127029419,+66.624481201,0,1,7,5,false,true
4,0.083333336,released,-30.521034241,-35.531475067,+9.286759377,+8.492448807,-0.406741828,-1.386664391,-0.083057255,-0.104963154,+57.960342407,+57.960342407,+532.417602539,-0.729605079,+2.550074816,-34.683250427,-40.408351898,-703.166931152,-1470.076049805,+0.000000000,+53.376029968,+0.000000000,+0.526104093,+0.000000000,+0.009856561,+0.000000000,+0.006452700,+0.000000000,+0.081219994,+0.000000000,+0.000006199,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+228.544891357,-33.958484650,-1440.831054688,+378.872192383,-0.000000954,+0.000003815,+0.000000000,+0.000000000,-243.359161377,+285.524963379,+0.343259215,-11.640544891,+11.053581238,+6.048323631,+10.569136620,+7.245655537,+67.794502258,+64.959503174,+68.351615906,+66.178001404,0,3,6,7,false,true
5,0.100000009,released,-30.804321289,-33.384502411,+9.271381378,+9.073362350,-0.458982497,-1.480614185,-0.083515294,-0.004655804,+45.682231903,+93.241760254,+489.811859131,-0.232649311,+2.528441191,-34.798019409,-38.896896362,-665.201538086,-1451.171142578,+86.714332581,+0.000000000,+1.071514726,+0.000000000,+0.012356835,+0.000000000,-0.081521764,+0.000000000,+0.044838637,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+236.684051514,+11.949998856,-1506.522583008,-122.931259155,-0.000004768,+0.000000000,+0.000000000,+0.000000000,-207.559967041,-57.017993927,+1.151009083,-8.460345268,+10.575977325,+8.250621796,+10.558446884,+10.046296120,+66.375289917,+64.130157471,+67.345146179,+65.379608154,1,0,6,5,true,false
6,0.116666675,released,-31.015384674,-31.263238907,+9.248580933,+9.469776154,-0.533856094,-1.542666674,-0.081783533,+0.104159802,-124.573669434,+124.573661804,+664.628662109,-0.020258527,+1.892105579,-37.041770935,-36.283443451,-1225.127197266,-1177.695068359,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+237.257781982,-81.132820129,-1512.550537109,+771.424865723,-0.000011444,+0.000000000,+0.000000000,+0.000000000,+83.146057129,-130.047927856,+2.164792061,-8.817804337,+10.342333794,+10.464187622,+10.747571945,+12.021350861,+67.228294373,+65.293876648,+68.069999695,+66.326812744,0,0,7,3,false,false
7,0.133333340,released,-30.556581497,-29.720497131,+9.232407570,+9.786597252,-0.507708669,-1.592489719,-0.080962449,+0.108025998,-106.462867737,+106.462867737,+1009.440307617,+0.668150246,+0.913579941,-36.296524048,-36.029693604,-1070.872070312,-979.632690430,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+267.443511963,-192.717590332,-1700.657836914,+1736.987792969,-0.000002861,-0.000003815,+0.000000000,+0.000000000,+237.409118652,-76.167602539,+1.695394754,-9.807318687,+10.846302032,+11.977999687,+11.216303825,+13.092116356,+67.349449158,+67.029365540,+68.156028748,+67.730598450,0,0,7,4,false,false
8,0.150000006,released,-29.777215958,-28.601230621,+9.204118729,+9.498073578,-0.717343867,-1.539923191,-0.074481301,-0.104679979,+44.555725098,+140.944030762,+811.829833984,+1.225258946,+2.564791918,-35.398036957,-34.558090210,-1801.557861328,-962.872375488,+166.450271606,+175.922683716,+1.188105583,+0.745940685,+0.007137901,+0.004240162,-0.056998238,+0.001392515,+0.098878615,+0.050788052,+0.000002623,+0.000003934,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+304.596405029,-127.253585815,-1885.356567383,+1162.891113281,+0.000003338,-0.000007629,+0.000000000,+0.000000000,+155.556076050,+259.391632080,-0.879848719,-8.164253235,+12.094297409,+13.058073997,+11.460097313,+14.925601959,+67.027389526,+63.286808014,+67.868881226,+65.178871155,3,5,7,6,true,true
