# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=torus mode=4 steer=+1.000000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,+32.379074097,+27.098606110,+9.500968933,-5.019477367,+0.538233936,+0.834481716,+0.080055714,+0.099211119,+1644.116821289,+12000.000000000,+494.169067383,+2.437621355,-0.016067477,+36.113704681,+27.298780441,-787.400085449,-576.579895020,+0.000000000,+140.021087646,+0.000000000,+0.364266098,+0.000000000,+0.002601509,+0.000000000,-0.019669563,+0.000000000,+0.053299483,+0.000000000,-0.000003338,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+79.096931458,+101.206893921,-764.593933105,-624.548400879,+0.000004768,-0.000000477,+0.000000000,+0.000000000,+73.122680664,-263.978881836,+21.514238358,-9.953180313,+9.668439865,+14.507679939,+8.679684639,+15.328716278,+65.737579346,+67.146484375,+66.734840393,+67.714416504,0,3,0,7,false,true
0,0.016666668,released,+34.160232544,+27.291179657,+9.525489807,-5.181774616,+0.541356623,+0.863832474,+0.079741493,+0.245699376,-89.416908264,+89.416908264,+160.281036377,+1.405093551,+0.917192101,+37.437767029,+30.506282806,-431.447998047,-973.371276855,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-30.841207504,+16.735532761,+323.314422607,-104.086875916,+0.000000000,+0.000000790,+0.000000000,+0.000000000,-232.764190674,-23.854881287,+17.248220444,-3.913947821,+7.638712406,+14.240146637,+7.401322365,+14.312223434,+66.191291809,+69.064857483,+67.230140686,+69.317077637,0,0,2,7,false,false
1,0.033333335,released,+34.416435242,+27.454828262,+9.538375854,-5.158319950,+0.577187955,+0.861064434,+0.079738528,+0.120315917,-5.055953026,+56.028106689,+706.248779297,-1.500849724,+0.365002483,+38.189949036,+28.970361710,-870.364746094,-805.775817871,+137.419799805,+0.000000000,-1.284750938,+0.000000000,-0.009349097,+0.000000000,+0.005427487,+0.000000000,+0.075469151,+0.000000000,-0.000012636,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+97.213470459,-164.382476807,-1073.009887695,+1025.202514648,+0.000000000,-0.000000477,+0.000000000,+0.000000000,-577.225402832,+223.155181885,+11.857370377,-2.493625879,+6.983710766,+13.995258331,+8.347242355,+13.961122513,+61.944820404,+67.896316528,+64.301681519,+68.447540283,2,0,6,5,true,false
2,0.050000004,released,+33.395282745,+27.951160431,+9.522697449,-5.684665680,+0.434175670,+0.947917700,+0.081758507,+0.016721243,-110.624877930,+110.624877930,+492.431152344,-1.629305243,+0.367340744,+36.114471436,+29.202322006,-1299.982910156,-716.899902344,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-104.011337280,+57.847454071,+1115.695068359,-362.524322510,+0.000000000,+0.000000596,+0.000000000,+0.000000000,+34.417594910,-53.554092407,+6.912549496,-3.166353703,+8.103906631,+13.420576096,+10.644152641,+13.561691284,+60.643714905,+67.357818604,+62.838939667,+68.047126770,0,0,7,5,false,false
3,0.066666670,released,+32.114986420,+28.101390839,+9.482835770,-6.642480373,+0.497719467,+1.104327083,+0.081560850,-0.007755489,+89.243118286,+89.243118286,+206.243164062,-1.107855201,+0.176694989,+33.967407227,+29.860290527,-956.159362793,-885.627014160,+0.000000000,+90.452568054,+0.000000000,-0.594923854,+0.000000000,-0.006577191,+0.000000000,-0.050501939,+0.000000000,+0.049589381,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-14.512986183,-80.362419128,+145.055343628,+505.458160400,+0.000000000,-0.000000238,+0.000000000,+0.000000000,+58.845901489,+59.103626251,+7.046077728,-3.076216936,+9.660844803,+13.262348175,+12.050024033,+13.455130577,+61.658348083,+66.557388306,+63.679801941,+67.471656799,0,1,5,5,false,true
4,0.083333336,released,+31.138669968,+28.678932190,+9.457654953,-6.545433044,+0.573950052,+1.085161209,+0.079719439,+0.127244681,-84.874046326,+84.874046326,+227.619567871,-0.017904282,+0.122414574,+33.697143555,+32.212005615,-710.199096680,-1787.843994141,+0.000000000,+29.666084290,+0.000000000,-0.094105333,+0.000000000,-0.003172152,+0.000000000,-0.034727141,+0.000000000,+0.060517590,+0.000000000,-0.000004932,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+30.061222076,-80.634429932,-285.546203613,+501.673889160,-0.000001907,-0.000001073,+0.000000000,+0.000000000,+83.832885742,+128.783767700,+9.789251328,-2.895761013,+10.680584908,+13.091876984,+12.258651733,+13.068111420,+64.692184448,+69.229515076,+66.061805725,+69.558265686,0,2,5,7,false,true
5,0.100000009,released,+30.462751389,+28.163425446,+9.468736649,-6.574911594,+0.659132957,+1.091368914,+0.077506289,-0.071053810,+62.761955261,+62.761955261,+972.975646973,-1.775597572,-0.436309159,+32.995052338,+30.497787476,-983.412414551,-1509.643798828,+160.474243164,+93.844161987,-1.174727201,-0.902298987,-0.007320347,-0.009614865,+0.009436036,-0.078974493,+0.068257511,+0.061920870,+0.000008821,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+178.775085449,-284.987670898,-1697.928466797,+1759.707275391,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-305.456573486,-506.616821289,+8.856164932,-0.417037964,+11.399390221,+13.857756615,+13.441554070,+13.282750130,+62.098690033,+67.667572021,+64.554832458,+68.220504761,4,1,7,6,true,true
6,0.116666675,released,+29.240369797,+27.541748047,+9.467277527,-6.740879536,+0.544021904,+1.118998170,+0.077509314,-0.059727192,+75.734123230,+137.297576904,+10.847983360,-1.177404404,-0.842008531,+31.658365250,+30.813348770,-1520.520751953,-1614.446899414,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-0.416212112,+7.435582161,+3.831624031,-45.632129669,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+96.006896973,+32.968643188,+5.325799942,-0.779595137,+12.462662697,+14.530263901,+15.040534973,+14.009549141,+62.139179230,+65.906204224,+63.980350494,+67.025169373,0,0,6,8,false,false
7,0.133333340,released,+28.198419571,+26.533958435,+9.429845810,-7.706720352,+0.591157377,+1.276091456,+0.075751163,-0.257394195,+41.084793091,+41.084796906,+252.695297241,-0.430918843,-0.686150789,+30.761386871,+29.713451385,-1445.450805664,-1472.437744141,+0.000000000,+97.252357483,+0.000000000,-0.860327482,+0.000000000,-0.008846341,+0.000000000,-0.075415283,+0.000000000,+0.053309910,+0.000000000,-0.000006080,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+67.240425110,-61.941055298,-595.514831543,+379.603271484,+0.000000000,-0.000000477,+0.000000000,+0.000000000,+2.131647110,-214.756835938,+7.203061581,-1.557254553,+13.414444923,+15.495612144,+15.379606247,+15.175091743,+64.422622681,+66.763671875,+65.701408386,+67.570960999,0,2,5,7,false,true
8,0.150000006,released,+27.566595078,+25.568817139,+9.385515213,-7.973207951,+0.615989983,+1.314573050,+0.072679766,-0.066630222,+65.269531250,+65.269531250,+277.294464111,+0.154881895,-0.994324803,+31.137437820,+29.891010284,-1239.094726562,-1650.821655273,+83.331809998,+0.000000000,-0.769270897,+0.000000000,-0.009231419,+0.000000000,-0.017947208,+0.000000000,+0.113341399,+0.000000000,+0.000000000,+0.000000000,+0.022680692,+0.000000000,-0.025816083,+0.000000000,+0.000542824,+0.000000000,+65.874069214,-89.140571594,-569.392150879,+544.563720703,+0.000001907,-0.000000477,+0.000000000,+0.000000000,-109.066406250,-106.079559326,+10.127185822,-1.639699340,+13.843122482,+16.479171753,+14.993593216,+16.185983658,+67.204986572,+65.710304260,+67.917877197,+66.932174683,1,0,6,7,true,false
