phase,step,time_s,chassis_y,chassis_vy,chassis_accel,wheel_y,wheel_vy,compression,suspension_travel,normal_impulse,loaded_points,persisted_points,step_ms
static,0,0,1.3528337478637695,-3.4199158562842058e-06,-2.1910668692726176e-05,0.51394456624984741,6.7732450759194762e-09,0.00015543375015258931,0.11111081838607784,64.666328430175781,2,2,0.005859375
static,1,0.0166666667,1.35283362865448,-3.7658214750990737e-06,-2.0754337128892075e-05,0.51394456624984741,-6.7723249230766669e-10,0.00015543375015258931,0.11111093759536739,64.666336059570312,2,2,0.005859375
static,2,0.0333333333,1.3528335094451904,-3.8972002585069276e-06,-7.882727004471235e-06,0.51394456624984741,4.0639740461756446e-09,0.00015543375015258931,0.11111105680465694,64.666400909423828,2,2,0.005859375
static,3,0.05,1.3528333902359009,-3.8370490074157715e-06,3.6090750654693693e-06,0.51394456624984741,7.4505912550648645e-09,0.00015543375015258931,0.11111117601394649,64.666454315185547,2,2,0.005859375
static,4,0.0666666667,1.3528332710266113,-3.6241610814613523e-06,1.2773275557265151e-05,0.51394456624984741,7.4505912550648645e-09,0.00015543375015258931,0.11111129522323604,64.66650390625,2,2,0.005615234375
static,5,0.0833333333,1.3528332710266113,-3.2554567042097915e-06,2.2122262635093648e-05,0.51394456624984741,6.7745986598310992e-10,0.00015543375015258931,0.11111129522323604,64.666542053222656,2,2,0.005615234375
static,6,0.1,1.3528332710266113,-2.9243528842926025e-06,1.9866229195031337e-05,0.51394456624984741,6.7723249230766669e-10,0.00015543375015258931,0.11111129522323604,64.666534423828125,2,2,0.005859375
static,7,0.116666667,1.3528332710266113,-2.6177863219345454e-06,1.8393993741483428e-05,0.51394456624984741,7.4505912550648645e-09,0.00015543375015258931,0.11111129522323604,64.666534423828125,2,2,0.005859375
static,8,0.133333333,1.3528332710266113,-2.339482307434082e-06,1.6698240870027803e-05,0.51394456624984741,3.3866278670302563e-09,0.00015543375015258931,0.11111129522323604,64.666526794433594,2,2,0.005859375
static,9,0.15,1.3528332710266113,-2.08243727684021e-06,1.5422701835632324e-05,0.51394456624984741,8.1279374342102528e-09,0.00015543375015258931,0.11111129522323604,64.666519165039062,2,2,0.005859375
static,10,0.166666667,1.3528332710266113,-1.8402934074401855e-06,1.4528632164001465e-05,0.51394456624984741,7.4505912550648645e-09,0.00015543375015258931,0.11111129522323604,64.666515350341797,2,2,0.005859375
static,11,0.183333333,1.3528332710266113,-1.6130506992340088e-06,1.3634562492370605e-05,0.51394456624984741,0,0.00015543375015258931,0.11111129522323604,64.666507720947266,2,2,0.005859375
static,12,0.2,1.3528332710266113,-1.3969838619232178e-06,1.2964010238647461e-05,0.51394456624984741,4.0639740461756446e-09,0.00015543375015258931,0.11111129522323604,64.666507720947266,2,2,0.005615234375
static,13,0.216666667,1.3528332710266113,-1.1920928955078125e-06,1.2293457984924316e-05,0.51394456624984741,6.7732450759194762e-09,0.00015543375015258931,0.11111129522323604,64.666507720947266,2,2,0.005615234375
static,14,0.233333333,1.3528332710266113,-9.8665555015031714e-07,1.2326240721449722e-05,0.51394456624984741,0,0.00015543375015258931,0.11111129522323604,64.666492462158203,2,2,0.005859375
static,15,0.25,1.3528332710266113,-7.934868335723877e-07,1.1590122994675767e-05,0.51394456624984741,7.4505912550648645e-09,0.00015543375015258931,0.11111129522323604,64.666496276855469,2,2,0.005859375
static,16,0.266666667,1.3528332710266113,-6.1467289924621582e-07,1.0728836059570312e-05,0.51394456624984741,7.4507049419025861e-09,0.00015543375015258931,0.11111129522323604,64.666488647460938,2,2,0.005859375
